"w","period","period_label","ratio_mean","ratio_median","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid"
0.0198484703818451,"pre_krill","Pre-Krill Fishing (1964-1973)",0.98584078924233,0.985269316858774,0.962724506166403,0.972769812031767,0.997309357678927,1.00957081499548,2111
0.0284722880740333,"pre_krill","Pre-Krill Fishing (1964-1973)",0.982892152493058,0.982384563873532,0.960385140076279,0.969613615644974,0.994638785908373,1.00687427635302,2111
0.0408430056611436,"pre_krill","Pre-Krill Fishing (1964-1973)",0.981068544080414,0.980409805878397,0.959795959006079,0.968127327969078,0.992927856965717,1.0068549142593,2111
0.0585885864563713,"pre_krill","Pre-Krill Fishing (1964-1973)",0.980672756526499,0.980202608801349,0.960659838622358,0.968501201422665,0.992065776778979,1.00716211809076,2111
0.0840443157253079,"pre_krill","Pre-Krill Fishing (1964-1973)",0.981974517168528,0.981809357431322,0.960963368031806,0.970963031205609,0.992865360284407,1.00759247733873,2111
0.12056011986217,"pre_krill","Pre-Krill Fishing (1964-1973)",0.985153328498232,0.984939419198557,0.961733453204381,0.975840446701847,0.996200480115924,1.01200895257687,2111
0.172941410442158,"pre_krill","Pre-Krill Fishing (1964-1973)",0.990342814910372,0.991129304079936,0.963172011528675,0.980817773135841,1.00129103538507,1.01871702921683,2111
0.248081467403285,"pre_krill","Pre-Krill Fishing (1964-1973)",0.997819895803959,1.00122988763742,0.966206597466893,0.987518293144813,1.00956445275546,1.0287730092948,2111
0.355868581802455,"pre_krill","Pre-Krill Fishing (1964-1973)",1.00842179981712,1.01200817774042,0.975909264024949,0.996318478283907,1.01941533048311,1.04276234629438,2111
0.510487336437021,"pre_krill","Pre-Krill Fishing (1964-1973)",1.02989521254188,1.02954496538411,1.00979131355813,1.01915905405535,1.04105430969853,1.06749176582506,2111
0.732285270429473,"pre_krill","Pre-Krill Fishing (1964-1973)",1.03148759057022,1.03178218179709,1.00974754260294,1.02176997329315,1.04311748458475,1.07247666844915,2111
1.05045057734576,"pre_krill","Pre-Krill Fishing (1964-1973)",1.02662995668125,1.02595962718878,0.999511657941252,1.0153169844769,1.03824847136838,1.08176775879674,2111
1.50685321691489,"pre_krill","Pre-Krill Fishing (1964-1973)",1.06502960003948,0.998974472329146,0.953304498063004,0.987253047376903,1.01255220121721,1.31879027513977,2111
2.16155492347296,"pre_krill","Pre-Krill Fishing (1964-1973)",1.06380095012163,1.00402308970857,0.903630585095431,0.990939352488131,1.02125644831486,1.32569182560226,2111
3.10071321794452,"pre_krill","Pre-Krill Fishing (1964-1973)",1.06189225772989,1.01168728756498,0.849875237801939,0.99676996530664,1.0324447663462,1.32757953906757,2111
4.44791957656499,"pre_krill","Pre-Krill Fishing (1964-1973)",1.05287592128616,1.02441350710022,0.755063294239795,1.00702621765201,1.0458867354153,1.31511773031643,2111
6.38046383815689,"pre_krill","Pre-Krill Fishing (1964-1973)",0.98866452043186,0.996513863106293,0.946866229267995,0.990971065606787,1.00255256868108,1.01676861675286,2111
9.15266521555844,"pre_krill","Pre-Krill Fishing (1964-1973)",0.989612244599791,1.00023915733357,0.930393282405868,0.994252020420717,1.00790468994822,1.02428552437391,2111
13.1293402287023,"pre_krill","Pre-Krill Fishing (1964-1973)",0.991373364118554,1.00601321317697,0.905802740081528,0.998869855566685,1.01604918775755,1.0327318449632,2111
18.8338118767848,"pre_krill","Pre-Krill Fishing (1964-1973)",0.992283930673524,1.01534815542714,0.855582988165081,1.00429706095087,1.02720822290119,1.04126726444405,2111
27.0167779668531,"pre_krill","Pre-Krill Fishing (1964-1973)",0.983833442710987,1.02051926797771,0.740416726015463,1.00818544629425,1.0318653932778,1.043554380927,2111
38.7551015421336,"pre_krill","Pre-Krill Fishing (1964-1973)",1.0188288265078,1.01781501817687,0.999972365446527,1.01063646055323,1.02900174775172,1.04954087496649,2111
55.5935240458296,"pre_krill","Pre-Krill Fishing (1964-1973)",1.02133339983436,1.02203605418201,0.999455849289663,1.01500583766596,1.03251958186275,1.05020261762983,2111
79.747950407875,"pre_krill","Pre-Krill Fishing (1964-1973)",1.02238543809735,1.02677693274156,0.997885336672785,1.01904731546249,1.03442084080638,1.04766722988176,2111
114.397057992117,"pre_krill","Pre-Krill Fishing (1964-1973)",1.02520934668309,1.03037725163223,0.999838194883523,1.02202245328203,1.0385179859068,1.05218886332285,2111
