"year","prey","n_sims","median","mean","sd","q05","q25","q75","q95"
1926,"shelf and coastal fishes",2111,0.0130431124277505,0.01163866526972,0.00631273214637868,0.000181831998340915,0.00754174124222395,0.0164782181902982,0.0200384019589286
1926,"small divers",2111,0,0,0,0,0,0,0
1926,"sperm whales",2111,0,0,0,0,0,0,0
1926,"squids",2111,8.02896527673056e-06,7.24023967618733e-06,3.91315826699532e-06,9.20576019290347e-08,4.75054357189532e-06,1.03928481670298e-05,1.22914968055025e-05
1926,"toothfishes",2111,4.43341221684176e-05,3.83260119817623e-05,2.02938095017342e-05,7.7428511329026e-07,2.37577945725498e-05,5.3541457486244e-05,6.26806700438757e-05
1931,"External",2111,0,0,0,0,0,0,0
1931,"Resource",2111,0.722560953281572,0.730395726415607,0.0906574601271177,0.595307445486568,0.664360868067972,0.790499459473113,0.878496381615823
1931,"antarctic krill",2111,0.0407586701729477,0.0724293310876193,0.0851798603534735,0.00154584641233688,0.0122686061089305,0.103153301255545,0.250923549116183
1931,"baleen whales",2111,0,0,0,0,0,0,0
1931,"bathypelagic fishes",2111,0.0661529489149711,0.0660333546252267,0.0414815193714702,0.00173236132941261,0.0356933861838043,0.0950895404701295,0.134527125191771
1931,"flying birds",2111,0,0,0,0,0,0,0
1931,"large divers",2111,0,0,0,0,0,0,0
1931,"leopard seals",2111,4.46855484067352e-20,6.00838885729706e-20,6.08508599382883e-20,5.88643458168449e-22,9.35876757394337e-21,9.05918688312365e-20,1.77863788070293e-19
1931,"medium divers",2111,0,0,0,0,0,0,0
1931,"mesopelagic fishes",2111,0.0505797083102357,0.0519593160664379,0.0354886543775438,0.00220426395275125,0.0217742977337785,0.0768749934612547,0.113640718873428
1931,"mesozooplankton",2111,2.64740476847498e-16,3.18033145211552e-16,2.48570895603028e-16,3.1775109295063e-17,1.28281321636887e-16,4.44962587708753e-16,8.21858383231437e-16
1931,"minke whales",2111,0,0,0,0,0,0,0
1931,"orca",2111,1.60452395434681e-19,2.28415213712092e-19,2.98293594875328e-19,3.12655969467948e-21,5.34858687865e-20,3.23785088084213e-19,6.34993472128156e-19
1931,"other krill",2111,0.000437647551570107,0.00183615364900365,0.00383166062566325,4.62734379128541e-06,8.27234458192651e-05,0.00172378131307092,0.00880223937137178
1931,"other macrozooplankton",2111,0.000984532257495071,0.00155635470263304,0.00206374613118312,1.06937712939485e-05,0.000207713232578489,0.00209657017188108,0.00457855265714925
1931,"salps",2111,0.0519856228700728,0.0641529508167658,0.0452326299280515,0.00930351742289349,0.0285534388155864,0.0954454968232939,0.150456353748066
1931,"shelf and coastal fishes",2111,0.0129492654474465,0.011591043716832,0.00630439564418941,0.00017279149886074,0.00738324618112972,0.0164111877453758,0.0199551165185029
1931,"small divers",2111,0,0,0,0,0,0,0
1931,"sperm whales",2111,0,0,0,0,0,0,0
1931,"squids",2111,8.05619180660444e-06,7.28417701496247e-06,3.9498600018384e-06,9.1968477154588e-08,4.73327390288134e-06,1.04672187986826e-05,1.23978122720032e-05
1931,"toothfishes",2111,4.42702233456581e-05,3.84847428592712e-05,2.04123960032951e-05,7.74779458168149e-07,2.40738523820985e-05,5.3779230061973e-05,6.27534830156783e-05
1936,"External",2111,0,0,0,0,0,0,0
1936,"Resource",2111,0.721863862420219,0.728979582629559,0.0925775943498931,0.596130901336498,0.66323343875436,0.789220043840047,0.889513392517521
1936,"antarctic krill",2111,0.0533551885933734,0.0875130497173834,0.0956597198893371,0.00214262136487857,0.0169960929098845,0.123075967649376,0.278878618977479
1936,"baleen whales",2111,0,0,0,0,0,0,0
1936,"bathypelagic fishes",2111,0.059271298665832,0.0604445474236094,0.0422261582716812,0.00145219256766288,0.0236833551194154,0.0902213086171572,0.132742217153732
1936,"flying birds",2111,0,0,0,0,0,0,0
1936,"large divers",2111,0,0,0,0,0,0,0
1936,"leopard seals",2111,3.98946357371151e-20,5.66350343225237e-20,6.09226355756512e-20,3.55276965032063e-22,1.04714443860523e-20,8.3202866272789e-20,1.71376940477504e-19
1936,"medium divers",2111,0,0,0,0,0,0,0
1936,"mesopelagic fishes",2111,0.0452784401194415,0.0473972914730275,0.0354414273284703,0.00191544513050485,0.0131461861378554,0.0730141424542642,0.110580195575143
1936,"mesozooplankton",2111,2.14693103790243e-16,2.69706328386123e-16,2.29727176667334e-16,2.62103225135969e-17,9.53191105388006e-17,3.78000754368659e-16,7.42192413237207e-16
1936,"minke whales",2111,0,0,0,0,0,0,0
