"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"baleen whales","other krill",0.000401025256413712,8.70566778442082e-05,0.00202511059311206,5.16284051570587e-06,0.0160937864200105,0.00376314537704511,4.01025256413712e-10,8.70566778442082e-11,2.02511059311206e-09,"Exploited"
"mesozooplankton","other macrozooplankton",38366334875.5326,14015236934.4322,81549323562.2107,4874681972.46116,260254735594.284,65952630499.1202,38366.3348755326,14015.2369344322,81549.3235622107,"Exploited"
"other krill","other macrozooplankton",41828427.1598296,9703994.02899532,182918687.719486,1176934.90015686,917306174.038298,192990752.196061,41.8284271598296,9.70399402899532,182.918687719486,"Exploited"
"other macrozooplankton","other macrozooplankton",9578152512427.5,5017884276245.68,13687777121422.3,1275168239698.13,26695832349576.1,10442610252590.7,9578152.5124275,5017884.27624568,13687777.1214223,"Exploited"
"antarctic krill","other macrozooplankton",2159932690.91465,677649091.004771,5348885242.19811,42744581.8603819,24208226891.3263,5236536451.88151,2159.93269091465,677.649091004771,5348.88524219811,"Exploited"
"salps","other macrozooplankton",5887079.41284846,2198190.5848558,13933206.4472043,543354.232641635,61031587.0415354,13128334.2264217,5.88707941284846,2.1981905848558,13.9332064472043,"Exploited"
"mesopelagic fishes","other macrozooplankton",5546622190776.83,3844213424197.22,10035082353557.6,489274523573.637,15260918177049.6,6893601762357.31,5546622.19077683,3844213.42419722,10035082.3535576,"Exploited"
"bathypelagic fishes","other macrozooplankton",4208680743038.69,2753817998049.57,6219893340779.11,1191942020442.65,9722959917989.91,4670463919098.24,4208680.74303869,2753817.99804957,6219893.34077911,"Exploited"
"shelf and coastal fishes","other macrozooplankton",2552257428676.16,1907006468161.66,3329433680404.79,738201002913.473,4350731843064.95,2593402175896.34,2552257.42867616,1907006.46816166,3329433.68040479,"Exploited"
"flying birds","other macrozooplankton",2118910801.00635,1499376726.46979,2876415779.04978,324440137.427646,4269958960.55441,2215081200.31991,2118.91080100635,1499.37672646979,2876.41577904978,"Exploited"
"small divers","other macrozooplankton",2503076691.51721,1621626313.17912,4394054503.32864,218710870.613675,8765590108.39157,3337558387.33985,2503.07669151721,1621.62631317912,4394.05450332864,"Exploited"
"squids","other macrozooplankton",17390479026.2439,12348349753.7691,24131845550.7902,5582824922.37269,36094629012.3247,18860838066.458,17390.4790262439,12348.3497537691,24131.8455507902,"Exploited"
"toothfishes","other macrozooplankton",19439301886.3315,13676265803.0176,25402497547.6003,3459244168.02235,34850300441.6982,19552987703.5164,19439.3018863315,13676.2658030176,25402.4975476003,"Exploited"
"leopard seals","other macrozooplankton",9406229.66623715,6385110.86672068,13112166.0722478,1663473.59361587,20167628.4882429,10154491.8115315,9.40622966623715,6.38511086672068,13.1121660722478,"Exploited"
"medium divers","other macrozooplankton",486227864.720399,304144825.638673,782647174.475052,100628021.501215,1436443169.79876,598715322.089692,486.227864720399,304.144825638673,782.647174475052,"Exploited"
"large divers","other macrozooplankton",54306971.0768757,32745107.0300919,99928847.7208244,11109239.2887805,401083452.35978,135237705.994379,54.3069710768757,32.7451070300919,99.9288477208244,"Exploited"
"minke whales","other macrozooplankton",98246792.8959286,67533832.9148546,139904598.021189,17924926.3997127,216045144.17314,108146144.341198,98.2467928959286,67.5338329148546,139.904598021189,"Exploited"
"orca","other macrozooplankton",42.5465587254177,29.0326106937021,64.9615598557838,12.3761591070972,106.906467437421,50.1370697404402,4.25465587254177e-05,2.90326106937021e-05,6.49615598557838e-05,"Exploited"
"sperm whales","other macrozooplankton",1736760.34459694,760306.925882225,5618121.67954589,283335.873510724,84611138.4055183,38919441.0410342,1.73676034459694,0.760306925882225,5.61812167954589,"Exploited"
"baleen whales","other macrozooplankton",7229159.80886354,4455653.68958933,10725865.2783591,1194278.66977497,18487644.6238291,8111791.83167257,7.22915980886354,4.45565368958933,10.7258652783591,"Exploited"
"mesozooplankton","antarctic krill",119976852.3687,64419974.8536073,251799019.569063,10083129.3165832,434359023.366605,174392297.387209,119.9768523687,64.4199748536073,251.799019569063,"Exploited"
"other krill","antarctic krill",188531.45603601,52808.0602774647,829427.188766303,7516.86834366468,4597468.96268166,1156029.66256901,0.18853145603601,0.0528080602774647,0.829427188766303,"Exploited"
"other macrozooplankton","antarctic krill",97706191719.6408,60098284672.5377,131327585259.272,7171491948.47815,229368295405.924,157322171878.282,97706.1917196408,60098.2846725377,131327.585259272,"Exploited"
"antarctic krill","antarctic krill",8904970.43550357,3152063.27455242,19569544.2051482,35979.2480491067,34959860.1638017,242896909.375931,8.90497043550357,3.15206327455242,19.5695442051482,"Exploited"
