"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"squids","other macrozooplankton",18183899201.7285,13005060633.1145,25126767189.6746,5612584333.11591,37735983763.8279,19674862082.7555,18183.8992017285,13005.0606331145,25126.7671896746,"Unexploited"
"toothfishes","other macrozooplankton",18797902043.566,13164779596.3312,24618341910.2854,3468713005.39906,33768485313.325,18913674843.4053,18797.902043566,13164.7795963312,24618.3419102854,"Unexploited"
"leopard seals","other macrozooplankton",9460170.94320216,6380417.16039478,13468132.5025147,1669524.33512034,21231164.6191161,10305506.3848355,9.46017094320216,6.38041716039479,13.4681325025147,"Unexploited"
"medium divers","other macrozooplankton",536922312.203862,332297368.155254,898036581.879675,103448485.554157,1736034670.88493,687426660.710022,536.922312203862,332.297368155254,898.036581879675,"Unexploited"
"large divers","other macrozooplankton",57868199.0840263,33589271.4709609,111609478.775521,11379658.043313,434460924.289648,151757041.725231,57.8681990840263,33.5892714709609,111.609478775521,"Unexploited"
"minke whales","other macrozooplankton",110947877.746175,77450485.0945787,156476779.041851,23794685.2075683,233235476.817979,120775324.458454,110.947877746175,77.4504850945787,156.476779041851,"Unexploited"
"orca","other macrozooplankton",51.5318129221749,33.3162822895467,78.5290508904494,13.2127665299594,153.104200483934,62.1801060373363,5.15318129221749e-05,3.33162822895467e-05,7.85290508904494e-05,"Unexploited"
"sperm whales","other macrozooplankton",28128902.2550262,15376654.5029438,80213309.2777923,4111998.60719764,2284687979.2008,401078611.301512,28.1289022550261,15.3766545029438,80.2133092777923,"Unexploited"
"baleen whales","other macrozooplankton",7543393.84324521,4580180.65289303,10910168.9235425,1269065.78921983,18585795.4426736,8330444.81446885,7.54339384324521,4.58018065289303,10.9101689235425,"Unexploited"
"mesozooplankton","antarctic krill",126219162.819852,67866957.3501003,256796492.202218,18321360.1790974,437892450.277638,186608368.124975,126.219162819852,67.8669573501003,256.796492202218,"Unexploited"
"other krill","antarctic krill",201241.918707876,59984.5784619727,864283.401076804,9755.62995135182,4717345.87705665,1173417.54498774,0.201241918707876,0.0599845784619727,0.864283401076804,"Unexploited"
"other macrozooplankton","antarctic krill",105573516968.876,66737893113.0079,136356794620.74,12829267135.714,235415734124.901,164731152424.288,105573.516968876,66737.8931130079,136356.79462074,"Unexploited"
"antarctic krill","antarctic krill",9145933.02389532,3941621.58237352,19312077.8054851,210692.494260816,34956920.9263517,218584277.016892,9.14593302389532,3.94162158237352,19.3120778054851,"Unexploited"
"salps","antarctic krill",29442.2304223797,15929.9864963273,66388.6043832297,3289.84586404787,160858.275468292,139839.086653997,0.0294422304223797,0.0159299864963273,0.0663886043832297,"Unexploited"
"mesopelagic fishes","antarctic krill",1277543053122.09,558177110667.354,2460097592482.32,69123341910.1927,6206078845653.04,2356795231712.98,1277543.05312209,558177.110667353,2460097.59248232,"Unexploited"
"bathypelagic fishes","antarctic krill",1204275125402.8,593622978290.036,2159545918800.5,109980676613.134,4520809670534.83,1904603372643.69,1204275.1254028,593622.978290036,2159545.9188005,"Unexploited"
"shelf and coastal fishes","antarctic krill",3555091752064.58,1973409180389.08,6511644631698.3,405582654997.63,9619818463115.21,4664785805216.04,3555091.75206458,1973409.18038908,6511644.6316983,"Unexploited"
"flying birds","antarctic krill",20553073043.2694,10556894650.3572,39318045985.4526,1795978343.90525,56768246192.6295,26493354436.1476,20553.0730432694,10556.8946503572,39318.0459854526,"Unexploited"
"small divers","antarctic krill",15372273363.553,6723137348.20425,29618883174.7684,1023485391.25093,62079424904.95,22105709447.3387,15372.273363553,6723.13734820425,29618.8831747684,"Unexploited"
"squids","antarctic krill",74115476829.3291,35239604497.5884,142704043979.452,8741733989.12148,240790998691.946,103246834652.154,74115.4768293291,35239.6044975884,142704.043979452,"Unexploited"
"toothfishes","antarctic krill",42749211339.7982,21394866679.7911,92971798448.6146,2809171448.75651,154700414711.302,67724958992.6594,42749.2113397982,21394.8666797911,92971.7984486146,"Unexploited"
"leopard seals","antarctic krill",78958695.6924046,39758974.4896446,144617010.533677,7554637.43937561,230837829.188478,103684439.133964,78.9586956924046,39.7589744896446,144.617010533677,"Unexploited"
"medium divers","antarctic krill",4362472143.85047,1847947154.74833,8740880013.4327,443454005.047243,19804685512.4196,6853566752.43272,4362.47214385047,1847.94715474833,8740.8800134327,"Unexploited"
"large divers","antarctic krill",360670734.412336,143238766.847131,821936996.037566,35703329.2421741,2999074528.58947,984411870.839962,360.670734412336,143.238766847131,821.936996037566,"Unexploited"
