"w","fished_biomass","climate_biomass","ratio","log10_w","size_category"
6054.29301617067,14376799.8502289,14354995.5420377,1.0015189352116,3.78206343614922,"Large (1kg-1t)"
8684.77880283868,1551117.88812456,1500188.99752941,1.03394831629816,3.93875876165129,"Large (1kg-1t)"
12458.1652478298,2016235.80123736,1953921.97030373,1.03189166808127,4.09545408715336,"Large (1kg-1t)"
17871.0229547244,4008611.53904515,3889846.53060774,1.03053205505742,4.25214941265543,"Large (1kg-1t)"
25635.6738809449,12243484.7573871,11670074.0136226,1.04913514199611,4.40884473815751,"Large (1kg-1t)"
36773.9315760001,727021.656153238,685231.310218893,1.06098721017432,4.56554006365958,"Large (1kg-1t)"
52751.5699347979,822902.070884175,775032.001339725,1.0617652812551,4.72223538916165,"Large (1kg-1t)"
75671.2163026369,1015862.69062992,955566.087739611,1.06310040055203,4.87893071466372,"Large (1kg-1t)"
108549.05330397,1539052.56654606,1444232.29477502,1.06565444638933,5.0356260401658,"Large (1kg-1t)"
155711.742838438,9686279.65360092,8975535.86299185,1.07918678076254,5.19232136566787,"Large (1kg-1t)"
223365.806700198,4255322.64306986,4253871.22304658,1.000341199803,5.34901669116994,"Large (1kg-1t)"
320414.393245838,6986.89288579253,7050.72806215924,0.990946300041083,5.50571201667201,"Large (1kg-1t)"
459628.91507784,23258.4471216191,23225.3094146385,1.00142679291755,5.66240734217409,"Large (1kg-1t)"
659329.743072884,10780.4334535827,10819.8691572904,0.996355251331189,5.81910266767616,"Large (1kg-1t)"
945797.132947857,20966.6079479242,20981.7526906634,0.999278194583529,5.97579799317823,"Large (1kg-1t)"
1356729.65779355,718170.485329997,675797.644156924,1.06270048666111,6.1324933186803,"Very Large (>1t)"
1946205.26983358,940.319088624423,954.877808557522,0.984753316285471,6.28918864418238,"Very Large (>1t)"
2791797.85786357,33056.7452280374,22192.2789963851,1.48956063653589,6.44588396968445,"Very Large (>1t)"
4004785.82602855,193.903600690847,215.702104834589,0.898941625254615,6.60257929518652,"Very Large (>1t)"
5744796.12382558,526.595412788407,577.815596869293,0.911355483724556,6.75927462068859,"Very Large (>1t)"
8240810.85430961,140927.415552481,453647.171654274,0.310654236063181,6.91596994619067,"Very Large (>1t)"
11821300.8908807,1476.38375510338,1904.90907565913,0.775041588057174,7.07266527169274,"Very Large (>1t)"
16957452.0303007,6.25202818162646,7.3144094101221,0.854755022732874,7.22936059719481,"Very Large (>1t)"
24325172.1628858,7.42849892747265,8.76827137334155,0.847202214801169,7.38605592269688,"Very Large (>1t)"
34894039.487579,13.0001670671572,17.4076092770744,0.746809447537303,7.54275124819896,"Very Large (>1t)"
50054897.1907571,2135.45251824287,13924.7875711986,0.153356200755245,7.69944657370103,"Very Large (>1t)"
71802885.8100286,26.2657578544296,26.3475849097465,0.996894324257909,7.8561418992031,"Very Large (>1t)"
103000000.000001,39677.5059258964,66282.8052330927,0.598609334447523,8.01283722470517,"Very Large (>1t)"
