"year","scenario","n","slope_median","slope_q25","slope_q75","slope_q05","slope_q95","intercept_median","intercept_q25","intercept_q75","intercept_q05","intercept_q95","r_squared_median"
1896,"Fished",2111,-2.07818765919485,-2.08732695255546,-2.0707771704117,-2.09761366857659,-2.06045087996108,11.4709588714329,11.4415422266565,11.4913283997726,11.3844713874816,11.5201856488723,0.986835715880208
1897,"Climate-Only",2111,-2.07849525609385,-2.08780242045691,-2.07098798481429,-2.09827068299007,-2.06016847829917,11.4710526132401,11.4412101773845,11.4923189189693,11.3832151786975,11.5215311770712,0.986885077142692
1897,"Fished",2111,-2.07849525609385,-2.08780242045691,-2.07098798481429,-2.09827068299007,-2.06016847829917,11.4710526132401,11.4412101773845,11.4923189189693,11.3832151786975,11.5215311770712,0.986885077142692
1898,"Climate-Only",2111,-2.07793106416798,-2.08744862493569,-2.0704702884179,-2.09793447570611,-2.05963325608338,11.4667429116175,11.4364628579962,11.4880808288943,11.3792327737163,11.5173027549003,0.986879518055402
1898,"Fished",2111,-2.07793106416798,-2.08744862493569,-2.0704702884179,-2.09793447570611,-2.05963325608338,11.4667429116175,11.4364628579962,11.4880808288943,11.3792327737163,11.5173027549003,0.986879518055402
1899,"Climate-Only",2111,-2.07724208079994,-2.08690505900693,-2.06928132645108,-2.09782040573803,-2.05807821662575,11.4611147552454,11.4298687855628,11.4836361808566,11.3705031321728,11.5128519479762,0.986886462536088
1899,"Fished",2111,-2.07724208079994,-2.08690505900693,-2.06928132645108,-2.09782040573803,-2.05807821662575,11.4611147552454,11.4298687855628,11.4836361808566,11.3705031321728,11.5128519479762,0.986886462536088
1900,"Climate-Only",2111,-2.08103740380343,-2.08982980362741,-2.0733399134748,-2.10075074295528,-2.06339690408776,11.4820634449686,11.4527118312519,11.5028255187939,11.3964438490215,11.5317236513544,0.986864526133877
1900,"Fished",2111,-2.08103740380343,-2.08982980362741,-2.0733399134748,-2.10075074295528,-2.06339690408776,11.4820634449686,11.4527118312519,11.5028255187939,11.3964438490215,11.5317236513544,0.986864526133877
1901,"Climate-Only",2111,-2.07706424256112,-2.08669254433701,-2.06919313107417,-2.09731900799021,-2.05814311575149,11.4616246131518,11.4291614046305,11.4837144156511,11.3728438845742,11.5125534231082,0.986791358801466
1901,"Fished",2111,-2.07706424256112,-2.08669254433701,-2.06919313107417,-2.09731900799021,-2.05814311575149,11.4616246131518,11.4291614046305,11.4837144156512,11.3728438845742,11.5125534231082,0.986791358801466
1902,"Climate-Only",2111,-2.08138602781295,-2.08997483272264,-2.07391026618849,-2.10065156369255,-2.06422254722491,11.4861796585369,11.4565503515451,11.5065443759344,11.3999178528857,11.5345282148577,0.986834799992332
1902,"Fished",2111,-2.08138602781295,-2.08997483272264,-2.07391026618849,-2.10065156369255,-2.06422254722491,11.4861796585369,11.4565503515451,11.5065443759344,11.3999178528857,11.5345282148577,0.986834799992332
1903,"Climate-Only",2111,-2.08063112923584,-2.08914131968487,-2.07319919022983,-2.09983424275984,-2.06379190768742,11.4826904181851,11.4530805289898,11.503247289687,11.401167630289,11.531921796785,0.986759438087342
1903,"Fished",2111,-2.08063112923584,-2.08914131968487,-2.07319919022983,-2.09983424275984,-2.06379190768742,11.4826904181851,11.4530805289898,11.503247289687,11.401167630289,11.531921796785,0.986759438087342
1904,"Climate-Only",2111,-2.07960502229608,-2.0884417716048,-2.07211729195506,-2.0987324252176,-2.06233123231516,11.4768215384997,11.4473951545281,11.4980634767113,11.39236624133,11.5270132176428,0.986792818176182
1904,"Fished",2111,-2.07960502229608,-2.0884417716048,-2.07211729195506,-2.0987324252176,-2.06233123231516,11.4768215384997,11.4473951545281,11.4980634767113,11.39236624133,11.5270132176428,0.986792818176182
1905,"Climate-Only",2111,-2.0773631188754,-2.08670694139193,-2.06957202780792,-2.09720721768351,-2.05898803893475,11.4634702275136,11.4324881397601,11.4856966939547,11.3750959031116,11.5153843113443,0.986844319490752
1905,"Fished",2111,-2.0773631188754,-2.08670694139193,-2.06957202780793,-2.09720721768351,-2.05898803893475,11.4634702275136,11.4324881397601,11.4856966939547,11.3750959031116,11.5153843113443,0.986844319490752
1906,"Climate-Only",2111,-2.0792712168162,-2.0882492629942,-2.07168648315932,-2.09882568831645,-2.0615606974889,11.4734256797416,11.4443669162336,11.4951757656277,11.3889842029008,11.5241621718186,0.986882324461534
1906,"Fished",2111,-2.0792712168162,-2.0882492629942,-2.07168648315932,-2.09882568831645,-2.0615606974889,11.4734256797416,11.4443669162336,11.4951757656277,11.3889842029008,11.5241621718186,0.986882324461534
1907,"Climate-Only",2111,-2.07641439221844,-2.08602574172759,-2.0679278791923,-2.09694416542875,-2.05654354448979,11.4575607946604,11.4242593291262,11.4807182838682,11.3649047184635,11.509777894086,0.986827250726537
1907,"Fished",2111,-2.07641439221844,-2.08602574172759,-2.0679278791923,-2.09694416542875,-2.05654354448979,11.4575607946604,11.4242593291262,11.4807182838682,11.3649047184635,11.509777894086,0.986827250726537
1908,"Climate-Only",2111,-2.07985743361907,-2.0887353264757,-2.07217394491695,-2.09945263528391,-2.06175685550811,11.4762814559775,11.4473372782722,11.4973985278012,11.39070057298,11.5261999186078,0.986872246871791
1908,"Fished",2111,-2.07985743361907,-2.0887353264757,-2.07217394491695,-2.09945263528391,-2.06175685550811,11.4762814559775,11.4473372782722,11.4973985278012,11.39070057298,11.5261999186078,0.986872246871791
1909,"Climate-Only",2111,-2.07799450155763,-2.08746801692417,-2.07061147644613,-2.09783277222488,-2.060015733839,11.4692850543927,11.4392564454388,11.4899502788283,11.3833763171053,11.5179848381377,0.986805349478177
1909,"Fished",2111,-2.07799450155763,-2.08746801692417,-2.07061147644613,-2.09783277222488,-2.060015733839,11.4692850543927,11.4392564454388,11.4899502788283,11.3833763171053,11.5179848381377,0.986805349478177
1910,"Climate-Only",2111,-2.07864397100238,-2.08764279362243,-2.07116539984213,-2.09817858676467,-2.06084105808466,11.4706635749229,11.4414694412604,11.4916375432743,11.3841197561362,11.5203369571923,0.986843966739745
1910,"Fished",2111,-2.07864397100238,-2.08764279362243,-2.07116539984213,-2.09817858676467,-2.06084105808466,11.4706635749229,11.4414694412604,11.4916375432743,11.3841197561362,11.5203369571923,0.986843966739745
1911,"Climate-Only",2111,-2.07962701023955,-2.08839393175179,-2.07206677222908,-2.09922408465842,-2.06213830585917,11.4762541820054,11.446546272104,11.497222933788,11.3927583557029,11.5259117158516,0.986849953708481
1911,"Fished",2111,-2.07962701023955,-2.08839393175179,-2.07206677222908,-2.09922408465842,-2.06213830585917,11.4762541820054,11.446546272104,11.497222933788,11.3927583557029,11.5259117158516,0.986849953708481
1912,"Climate-Only",2111,-2.08057774479105,-2.08916355052533,-2.07310216272619,-2.0997495321267,-2.06379941971793,11.4830059665152,11.4536729757025,11.5035089955013,11.3997990916793,11.5320300376661,0.986801893407852
1912,"Fished",2111,-2.08057774479105,-2.08916355052533,-2.07310216272619,-2.0997495321267,-2.06379941971793,11.4830059665152,11.4536729757025,11.5035089955013,11.3997990916793,11.5320300376661,0.986801893407852
1913,"Climate-Only",2111,-2.07968184563459,-2.08822444338191,-2.07227673723646,-2.09871504053711,-2.06301167665207,11.4779110257205,11.4488578623409,11.4987361617122,11.3966586876201,11.527385280674,0.986780137874762
1913,"Fished",2111,-2.07968184563459,-2.08822444338191,-2.07227673723646,-2.09871504053711,-2.06301167665207,11.4779110257205,11.4488578623409,11.4987361617122,11.3966586876201,11.527385280674,0.986780137874762
1914,"Climate-Only",2111,-2.0789951294172,-2.08784927547586,-2.07157902617725,-2.09840644987457,-2.06164843909109,11.4742356487778,11.4451116215998,11.4957115637811,11.3879491591067,11.5242489009427,0.986827605599437
1914,"Fished",2111,-2.0789951294172,-2.08784927547586,-2.07157902617725,-2.09840644987457,-2.06164843909109,11.4742356487778,11.4451116215998,11.4957115637811,11.3879491591067,11.5242489009427,0.986827605599437
1915,"Climate-Only",2111,-2.07973958743561,-2.08855932184735,-2.07220367645898,-2.09911605400142,-2.0624291767515,11.4779447483178,11.4490749237009,11.4997035245137,11.3941504105153,11.5282423112266,0.986854631465468
1915,"Fished",2111,-2.07973958743561,-2.08855932184735,-2.07220367645898,-2.09911605400142,-2.0624291767515,11.4779447483178,11.4490749237009,11.4997035245137,11.3941504105153,11.5282423112266,0.986854631465468
1916,"Climate-Only",2111,-2.07821485451913,-2.08739792852309,-2.07090367830412,-2.09776411375939,-2.06021652134387,11.4710492548291,11.4418816720435,11.4918834560459,11.3858912402544,11.5206084952744,0.986830056164078
1916,"Fished",2111,-2.07821485451913,-2.08739792852309,-2.07090367830412,-2.09776411375939,-2.06021652134387,11.4710492548291,11.4418816720435,11.4918834560459,11.3858912402544,11.5206084952744,0.986830056164078
1917,"Climate-Only",2111,-2.07854905046584,-2.08782205004701,-2.07104952233917,-2.09821754560491,-2.06012858527868,11.4713204357524,11.4421837368339,11.492545522066,11.3837026714519,11.5221867116619,0.98687051641289
1917,"Fished",2111,-2.07854905046584,-2.08782205004701,-2.07104952233917,-2.09821754560491,-2.06012858527868,11.4713204357524,11.4421837368339,11.492545522066,11.3837026714519,11.5221867116619,0.98687051641289
1918,"Climate-Only",2111,-2.0779950776792,-2.08748798913039,-2.07045310795378,-2.09789385124395,-2.05964847181594,11.4670759719471,11.4370878719036,11.4881362855927,11.3802717674393,11.5178110544431,0.986877359971542
1918,"Fished",2111,-2.0779950776792,-2.08748798913039,-2.07045310795378,-2.09789385124395,-2.05964847181594,11.4670759719471,11.4370878719036,11.4881362855927,11.3802717674393,11.5178110544431,0.986877359971542
1919,"Climate-Only",2111,-2.07720644757748,-2.08674875348429,-2.0692783610571,-2.09761589548916,-2.05803217001968,11.462060828451,11.4303413980133,11.4836006351694,11.3712925970458,11.5128411402827,0.986886023128523
1919,"Fished",2111,-2.07720644757748,-2.08674875348429,-2.0692783610571,-2.09761589548916,-2.05803217001968,11.462060828451,11.4303413980133,11.4836006351694,11.3712925970458,11.5128411402827,0.986886023128523
1920,"Climate-Only",2111,-2.08089382432575,-2.08984393177246,-2.07321822378779,-2.10060322611183,-2.06340942661658,11.4824468098647,11.4534095514965,11.5028847447838,11.3970591906006,11.5318465485921,0.986860974717943
1920,"Fished",2111,-2.08089382432575,-2.08984393177246,-2.07321822378779,-2.10060322611183,-2.06340942661658,11.4824468098647,11.4534095514965,11.5028847447838,11.3970591906006,11.5318465485921,0.986860974717943
1921,"Climate-Only",2111,-2.07702857737532,-2.08664966149497,-2.06915565487661,-2.09727521594926,-2.05791138446673,11.461974444823,11.4302541431242,11.4838701699922,11.3729325692179,11.5127920669172,0.986786723652869
1921,"Fished",2111,-2.07702857737532,-2.08664966149497,-2.06915565487661,-2.09727521594926,-2.05791138446673,11.461974444823,11.4302541431242,11.4838701699922,11.3729325692179,11.5127920669172,0.986786723652869
1922,"Climate-Only",2111,-2.08134047126698,-2.09000370892219,-2.0737914248901,-2.1005917497208,-2.06418292504409,11.4861953637174,11.4572226815929,11.5067377837583,11.4003298195298,11.5353360085153,0.986819443878938
1922,"Fished",2111,-2.08134047126698,-2.09000370892219,-2.0737914248901,-2.1005917497208,-2.06418292504409,11.4861953637174,11.4572226815929,11.5067377837583,11.4003298195298,11.5353360085153,0.986819443878938
1923,"Climate-Only",2111,-2.0805230390472,-2.08917328505389,-2.07313390344882,-2.09975586849304,-2.06372619608641,11.4827313641843,11.453710400323,11.5036339487268,11.4022083109505,11.5324413498802,0.986755925725083
1923,"Fished",2111,-2.0805230390472,-2.08917328505389,-2.07313390344882,-2.09975586849304,-2.06372619608641,11.4827313641843,11.453710400323,11.5036339487268,11.4022083109505,11.5324413498802,0.986755925725083
1924,"Climate-Only",2111,-2.07959396427073,-2.08845338118659,-2.07201299768178,-2.09885220565259,-2.06236072385922,11.4770669068138,11.4480089678005,11.4985844939372,11.3935473987168,11.5268103047088,0.986796502442415
1924,"Fished",2111,-2.07959396427073,-2.08845338118659,-2.07201299768178,-2.09885220565259,-2.06236072385922,11.4770669068138,11.4480089678005,11.4985844939372,11.3935473987168,11.5268103047088,0.986796502442415
1925,"Climate-Only",2111,-2.07742692685032,-2.08671273071944,-2.06949909362747,-2.09705260724199,-2.05902107761412,11.4636051240664,11.4331647290275,11.4861439427193,11.3752308578158,11.515007736672,0.986840430150363
1925,"Fished",2111,-2.07742692685032,-2.08671273071944,-2.06949909362747,-2.09705260724199,-2.05902107761412,11.4636051240664,11.4331647290275,11.4861439427193,11.3752308578158,11.515007736672,0.986840430150363
1926,"Climate-Only",2111,-2.07928598784499,-2.0882700061659,-2.07171375622654,-2.09874304714974,-2.06136848680588,11.4738812668687,11.4455194755183,11.4953899304205,11.3899283837489,11.5241631468229,0.986872931989017
1926,"Fished",2111,-2.07928598784499,-2.0882700061659,-2.07171375622654,-2.09874304714973,-2.06136848680588,11.4738812668687,11.4455194755183,11.4953899304205,11.3899283837489,11.5241631468229,0.986872931989017
1927,"Climate-Only",2111,-2.07633619433057,-2.08595726699774,-2.06772329146373,-2.09686327398985,-2.05646611477392,11.4583874835565,11.4248056080185,11.4806942360241,11.3666123106278,11.5095714151006,0.986822680464534
1927,"Fished",2111,-2.07633619433057,-2.08595726699774,-2.06772329146373,-2.09686327398985,-2.05646611477392,11.4583874835565,11.4248056080185,11.4806942360241,11.3666123106278,11.5095714151006,0.986822680464534
1928,"Climate-Only",2111,-2.07985771944518,-2.08871601115371,-2.07213898488982,-2.09928589578793,-2.06148936017843,11.4768205216451,11.4480721056712,11.4974253873016,11.3913545150274,11.5255851044331,0.986868812051682
1928,"Fished",2111,-2.07985771944518,-2.08871601115371,-2.07213898488982,-2.09928589578793,-2.06148936017843,11.4768205216451,11.4480721056712,11.4974253873016,11.3913545150274,11.5255851044331,0.986868812051682
1929,"Climate-Only",2111,-2.0780185437887,-2.0875504628813,-2.07058874906304,-2.09781097273194,-2.05968646364297,11.4696523723963,11.4398303793294,11.4900955515562,11.3848504725984,11.5175061238545,0.986808979317715
1929,"Fished",2111,-2.0780185437887,-2.0875504628813,-2.07058874906304,-2.09781097273194,-2.05968646364297,11.4696523723963,11.4398303793294,11.4900955515562,11.3848504725984,11.5175061238545,0.986808979317715
1930,"Climate-Only",2111,-2.07869341574116,-2.08766709807831,-2.07110809034813,-2.09813636135441,-2.06030149261158,11.4705272439517,11.4420397830178,11.4920372495817,11.3860216437395,11.5199361345917,0.98684213254936
1930,"Fished",2111,-2.07869341574116,-2.08766709807831,-2.07110809034813,-2.09813636135441,-2.06030149261158,11.4705272439517,11.4420397830178,11.4920372495817,11.3860216437395,11.5199361345917,0.98684213254936
1931,"Climate-Only",2111,-2.07965578172882,-2.08843374624185,-2.07207930298588,-2.09909414816302,-2.06173724354538,11.47648694598,11.4473753454463,11.4974333480809,11.3929665485663,11.5258040279428,0.986836875873533
1931,"Fished",2111,-2.07971656484488,-2.08845827165261,-2.07212294853188,-2.09912308544375,-2.06179441866055,11.4763507187785,11.4473373230911,11.4972659737925,11.392986310539,11.5257320264491,0.986843811694145
1932,"Climate-Only",2111,-2.08051003906604,-2.08920038118283,-2.07305376740303,-2.09968907846399,-2.0633211934518,11.4832072377922,11.4542295519264,11.5038443834699,11.3999288970994,11.5316862884083,0.986810380151496
1932,"Fished",2111,-2.08077293262726,-2.08937561605657,-2.07331089446307,-2.09976227153358,-2.06396329614957,11.4824036005854,11.4541130945844,11.5030670275016,11.3999782095248,11.5311277564516,0.986819326076219
1933,"Climate-Only",2111,-2.07965142019994,-2.08824117510296,-2.072266906676,-2.09872903440027,-2.06240020435946,11.4780967169706,11.4495623852729,11.499310669375,11.3967798033575,11.5270886109051,0.986782454619809
1933,"Fished",2111,-2.08010621291638,-2.088518232019,-2.07251455484587,-2.09895111619324,-2.06307595923434,11.4775346503461,11.4493049794067,11.4983132333572,11.3972039047601,11.5252900662578,0.986808914846974
1934,"Climate-Only",2111,-2.07903640060187,-2.08796368671875,-2.07157734900169,-2.09814745859537,-2.06134827031301,11.4741418768725,11.4452025179161,11.4959161648155,11.3892640486295,11.5239707323394,0.986825458637601
1934,"Fished",2111,-2.07990414673266,-2.08854981334211,-2.07231943753488,-2.09902001599346,-2.06263517543838,11.4733331129699,11.4445530239562,11.4940595061947,11.3909656992445,11.5222309723194,0.986859693256748
1935,"Climate-Only",2111,-2.07971244953346,-2.08853488789811,-2.07219255855712,-2.09888310784431,-2.06197791697462,11.4779215401669,11.4491594301183,11.4996414211517,11.3939348129441,11.5282288885919,0.986849447592025
1935,"Fished",2111,-2.08108264333901,-2.08976193588952,-2.07330215411764,-2.10035633558516,-2.06391219443999,11.4767032430477,11.4480054143211,11.4976005496517,11.3944897886776,11.5256728300962,0.98688260849449
1936,"Climate-Only",2111,-2.07829636475738,-2.08740117188096,-2.07069234552,-2.09756126725843,-2.05993636641713,11.47109298431,11.4422786928353,11.4919238445282,11.3866458520674,11.5194280838499,0.986816700932364
1936,"Fished",2111,-2.07998610103621,-2.08893043435525,-2.07216660893641,-2.09916401432155,-2.06270074418858,11.469779922391,11.4410291620614,11.489584852865,11.389416335175,11.5169528100636,0.986852522629087
1937,"Climate-Only",2111,-2.07849798215252,-2.08786371412197,-2.07098935563203,-2.09819489298875,-2.06006641782174,11.4715591294567,11.4420218118401,11.4926701256814,11.3836044043785,11.5211339538804,0.98687399913925
