"year","median","mean","q25","q75","relative","relative_q25","relative_q75"
1965,31950019439426.4,38824504883137.8,18173800920952.5,49236726752796.3,0.965809787060959,0.54937164688838,1.4883656853747
1966,32145490527101.3,39189692516496.4,18190768024792.4,49423361641693.9,0.971718637599278,0.549884541566824,1.49400742849308
1967,31744981538439.8,38878470255175.3,17607073758437.9,49307913152800.7,0.959611743524031,0.532240181876672,1.49051756268295
1968,32397795927073.4,39510946688188.9,18154593460907.7,50393069321893.6,0.979345519488454,0.548791028997644,1.52332049886227
1969,32608256197746.3,39545227416046.1,18401478370345.3,50377878454632,0.985707474591132,0.556254056125518,1.5228612976307
1970,32266908348210.1,39132546220316,18273158448687.4,49898976583916.9,0.975388948979612,0.552375102735613,1.5083846831593
1971,32468453569440.7,39321881655945.8,18504476772921.9,49909432159741.7,0.981481413103739,0.559367571140701,1.50870074235545
1972,32973998053585.8,39861248689168.9,18997575354635.7,50401886131596.2,0.996763401006994,0.574273334722723,1.52358702017433
1973,32922911872021.7,39761017619147.9,19071376495147.8,50228581140101.6,0.995219128577624,0.576504252420224,1.51834822345781
1974,32411226418395.5,39397911459014,18764928775220.3,49584262133782.7,0.979751506720747,0.567240714797354,1.49887125245089
1975,32456693802333.5,39674433322465,18609273472108.3,49699559797128.6,0.981125929809366,0.562535446450381,1.50235655899025
1976,32200580736263.6,39595830238158.6,18532032720513.1,49663304975630.5,0.973383946857729,0.560200553540784,1.50126062033214
1977,31653317726992.1,39230613115293.4,17955871616672.4,49453028405107,0.956840859256393,0.542783912087149,1.49490421825901
1978,31146117120434.9,38939029714893,17504442521860.6,49349541025364.9,0.941508808809758,0.529137765838007,1.49177592206559
1979,30604145499336.2,38368928789102.4,16950687026884.9,48986136418900.9,0.925125673364135,0.512398418380012,1.48079064782338
1980,31311754652013.7,38914507576496.6,17216747284517.4,49651773428860.2,0.946515827644495,0.520441092696897,1.50091203585782
1981,31217834423676.8,38926248242347.5,17268442882577.2,49129694084904.9,0.943676734669832,0.522003787037311,1.48513021948146
1982,31160222955340.9,39062204885728.8,17300182703615.1,49630511967887.6,0.941935210847876,0.52296324278525,1.5002693280456
1983,31745344188826.6,39984417779817.8,17794145010483.3,50683411183046.5,0.959622705999141,0.537895115716252,1.53209717618563
1984,32364258233069.9,40705000722700.7,18416487804164.6,51459068961162.1,0.978331716252263,0.556707772847299,1.55554435670877
1985,31775567702889.3,40001411463596.7,17922644538039.8,50142707409300.8,0.960536325652378,0.541779498371542,1.51575236620596
1986,32029683955791.5,40477446216771.6,18171668699374.6,50630421895220.4,0.968217947398162,0.549307192452851,1.5304953751949
1987,32042465672153.8,40459340747328.6,17886639909200.5,50533960617075.8,0.968604322961455,0.540691122729758,1.52757946941021
1988,32243707863388.1,40775978707439.9,18192781198834.2,50630048446304.1,0.974687626861543,0.549945397341773,1.53048408629353
1989,32854368303736.2,41528187359337.3,18844700540054.6,51752113201969.6,0.993147140821379,0.569652117123857,1.56440272364499
1990,33774917703809.7,42612220303431.2,19774891654322.6,52791323836542.6,1.02097421685023,0.597770650312873,1.59581678283175
1991,33073094583608.6,41847487962601.2,19203719537734.5,51393719655422,0.999758967214435,0.580504819807105,1.55356892758012
1992,32760110508435.5,41658803500337.1,18935967902737.7,50774164246740.2,0.99029784361263,0.572411017233003,1.53484052966895
1993,33383383568919.1,42444379161197.2,19667711233111.5,51525226681683.3,1.00913862156483,0.59453071801852,1.55754422322185
1994,33833679583157,42935435755517.2,20171043712419.4,51932963747283,1.02275051618198,0.609745839736455,1.56986961317193
1995,33175428098740.3,42404257972354.5,19692054368712.4,50996621738000.4,1.00285238350002,0.595266581064102,1.54156514599262
1996,32758896605903.4,41956710584025.5,19266861620840.8,50136518885147.9,0.990261148832263,0.582413527310559,1.5155652947331
1997,33020361247585.5,42117087767420,19415837915663.2,50416650355094.1,0.998164903331874,0.586916897452548,1.52403332448973
1998,32991111314728.6,42074276944837.1,19491715482811.9,50349166253305.3,0.997280713840922,0.589210582973135,1.52199336310246
