"w","dw","n_mean","n_median","n_q05","n_q25","n_q75","n_q95","n_density_mean","n_density_median","n_density_q05","n_density_q95","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","biomass_density_median","biomass_density_q05","biomass_density_q95","n_sims","period","scenario"
79.747950407875,34.6491075842416,5.55632020364529e-06,5.57266004759401e-06,4.61066263882795e-06,5.13417520733981e-06,5.97848799980374e-06,6.58324002458031e-06,1.60359691519798e-07,1.60831272033351e-07,1.33067283987564e-07,1.8999739051214e-07,0.000443105148050578,0.000444408217115474,0.000367690895468693,0.000524999899003369,1.2788356726743e-05,1.28259643061511e-05,1.06118431643509e-05,1.51519024761878e-05,2112,"pre_whaling","fished"
114.397057992117,49.7035466042292,4.26107371476821e-06,4.29155293863321e-06,3.11392795448875e-06,3.97517647834797e-06,4.62705217762228e-06,5.18170733615524e-06,8.57297719355431e-08,8.63429922376616e-08,6.26500152853034e-08,1.04252265485504e-07,0.000487454296857022,0.000490941030397062,0.000356224196792923,0.000592772074632328,9.80723369176125e-06,9.87738429022465e-06,7.16697743179985e-06,1.19261524605548e-05,2112,"pre_whaling","fished"
164.100604596346,71.2988794598087,3.19861709632877e-06,3.29078554337373e-06,1.66203423699758e-06,2.83080555076972e-06,3.68427955883708e-06,4.36735212859584e-06,4.48620948963417e-08,4.61548003041023e-08,2.33108044556924e-08,6.12541481953826e-08,0.000524894999379759,0.000540019897264543,0.00027274082315113,0.000716685124787716,7.36189689594832e-06,7.57403063492679e-06,3.82531710480632e-06,1.00518427528965e-05,2112,"pre_whaling","fished"
235.399484056154,102.277011592404,2.58362744049825e-06,2.43139176978871e-06,7.21187990698814e-07,1.77463502960905e-06,3.41194016730092e-06,4.70186799103496e-06,2.52610767588182e-08,2.37726125542105e-08,7.05132052130059e-09,4.59718945423722e-08,0.00060818456648661,0.000572348368146643,0.000169767280917996,0.00110681729918978,5.94644443572872e-06,5.59606072992802e-06,1.65987721262873e-06,1.08217602563584e-05,2112,"pre_whaling","fished"
337.676495648558,146.71460729154,6.55096852022883e-07,6.46365002641156e-07,2.05572602597701e-07,4.69833689253292e-07,8.44297759634135e-07,1.09180545388859e-06,4.46510994451374e-09,4.40559406165161e-09,1.4011733827512e-09,7.44169564329088e-09,0.000221210809301489,0.000218262269001737,6.94170360465453e-05,0.000368677039599081,1.50776267874893e-06,1.48766556398861e-06,4.73143317683461e-07,2.51288570650961e-06,2112,"pre_whaling","fished"
484.391102940098,210.45957109593,3.22756726526421e-07,2.95370142119128e-07,7.80417480841795e-08,1.83279485126139e-07,4.39098995387589e-07,6.545157169167e-07,1.53358065326145e-09,1.40345312204639e-09,3.70815865858659e-10,3.10993562092913e-09,0.000156340486743469,0.000143074668916658,3.7802728429869e-05,0.000317041590008909,7.42852824080908e-07,6.79820205712774e-07,1.79619906250963e-07,1.50642514549456e-06,2112,"pre_whaling","fished"
694.850674036028,301.900621100849,1.16368996067789e-07,9.85978168834862e-08,3.3325911908446e-08,6.75120629377985e-08,1.50104289021649e-07,2.52781653752542e-07,3.85454642800873e-10,3.26590308174788e-10,1.10387026654422e-10,8.37300873482144e-10,8.08590753545994e-05,6.85107595199713e-05,2.3156532352449e-05,0.000175645502493896,2.67833418360503e-07,2.26931495768886e-07,7.67024998756582e-08,5.81799076310023e-07,2112,"pre_whaling","fished"
996.751295136877,433.071228580683,3.47550299654861e-08,3.61324918067014e-08,1.84966175796565e-08,3.11173760199936e-08,4.02277810641493e-08,4.44345344390139e-08,8.02524565748451e-11,8.34331385280880e-11,4.27103357576444e-11,1.02603293653657e-10,3.46421211306192e-05,3.60151080048522e-05,1.84365275281742e-05,4.42901797508912e-05,7.99917400288929e-08,8.31620888852062e-08,4.25715824821629e-08,1.02269965834592e-07,2112,"pre_whaling","fished"
1429.82252371756,621.233200317702,3.21994874338154e-08,3.3404748999741e-08,1.68420254365938e-08,2.86745404200813e-08,3.73781987768371e-08,4.12952600511371e-08,5.18315624750068e-11,5.37716737976297e-11,2.71106332178974e-11,6.64730410899135e-11,4.60395523850298e-05,4.77628625189613e-05,2.40811073142659e-05,5.90448929438897e-05,7.41099354662386e-08,7.68839503338442e-08,3.87633940071952e-08,9.50446513703612e-08,2112,"pre_whaling","fished"
2051.05572403526,891.14830011173,3.71535730310694e-08,3.8366539031207e-08,1.8447138212219e-08,3.28182769620892e-08,4.33794639127722e-08,4.85207522266133e-08,4.1691795884491e-11,4.30529228708585e-11,2.0700413399101e-11,5.44474496787234e-11,7.6204048633737e-05,7.86919094913794e-05,3.78361084222413e-05,9.95187665888919e-05,8.55121965941951e-08,8.8303943890723e-08,4.24577013921224e-08,1.11674753322667e-07,2112,"pre_whaling","fished"
2942.20402414699,1278.33685061567,2.87298061435133e-08,2.89613327786412e-08,1.25730281097776e-08,2.42249556175776e-08,3.4470620353184e-08,4.03870016718794e-08,2.24743627860501e-11,2.26554782995521e-11,9.83545776977501e-12,3.1593395475088e-11,8.45289512484079e-05,8.52101498459782e-05,3.69924139003009e-05,0.000118826798842235,6.6124160629256e-08,6.66570394219171e-08,2.89379234295598e-08,9.29542153032713e-08,2112,"pre_whaling","fished"
4220.54087476266,1833.75214140801,5.70963240929989e-11,5.76342066554802e-11,4.96862381753331e-11,5.53023554692897e-11,5.95772580495537e-11,6.23176242613069e-11,3.11363366966043e-14,3.1429660178189e-14,2.70953947664827e-14,3.39836681600041e-14,2.40977369633198e-07,2.43247524973973e-07,2.09702799132186e-07,2.63014080412947e-07,1.31412181718391e-10,1.32650165461947e-10,1.1435722112977e-10,1.43429460543668e-10,2112,"pre_whaling","fished"
6054.29301617067,2630.48578666801,1.2380510124593e-10,1.27640636713046e-10,7.11253558036517e-11,1.18528137904196e-10,1.37243626911783e-10,1.46222676711712e-10,4.70654895279825e-14,4.85235987055936e-14,2.70388671796417e-14,5.55877083437616e-14,7.49552359839536e-07,7.72773815431373e-07,4.30613744914703e-07,8.85274930421498e-07,2.84948264551918e-10,2.93776084762744e-10,1.63701224730871e-10,3.36544274410568e-10,2112,"pre_whaling","fished"
