"w","n_unfished","n_density_unfished","biomass_unfished","biomass_density_unfished","n_mean","n_median","n_q05","n_q95","n_density_mean","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","period","n_ratio","n_ratio_median","biomass_ratio","biomass_ratio_median","n_diff","biomass_diff","log_n_ratio","log_biomass_ratio","period_label"
1.01654172179288e-05,479235563.941663,108505388945677,4871.62945313638,1103002549.02644,250072107.988443,224031257.799843,124870938.897626,431098344.521979,56619694745889.6,2542.08731226945,2277.37120539276,1269.36519228886,4382.2945340243,575562819.843736,"post_krill",0.521814587238946,0.467476278173532,0.521814587238946,0.467476278173532,-229163455.953221,-2329.54214086693,-0.282483784436966,-0.282483784436966,"Post Krill Fishing (2001-2010)"
1.45821154906901e-05,295719065.577252,46675208682298.4,4312.20956704644,680623283.557334,154971266.644831,139493889.565611,75953874.0074474,269560266.340111,24460094232639.2,2259.80890795345,2034.1160078913,1107.56816274192,3930.75893547268,356679919.013507,"post_krill",0.524048952820553,0.47171084249612,0.524048952820553,0.47171084249612,-140747798.932421,-2052.40065909298,-0.280628142507047,-0.280628142507047,"Post Krill Fishing (2001-2010)"
2.0917792907584e-05,180116693.261495,19818262787955.2,3767.64368884279,414554316.786526,96479209.3040687,87676453.014485,47297839.0266522,167531964.573589,10615619734847.3,2018.13212010996,1833.99788702852,989.366401735758,3504.39894035104,222055335.199199,"post_krill",0.535648348618078,0.486775830862027,0.535648348618078,0.486775830862027,-83637483.9574262,-1749.51156873282,-0.271120229661574,-0.271120229661574,"Post Krill Fishing (2001-2010)"
3.00062127750894e-05,113697672.674217,8721031740431.3,3411.63655829501,261685134.02169,63649613.9498078,58384629.8980247,31440022.6140606,109432006.686662,4882160649963.35,1909.88385923023,1751.90162751498,943.396008211127,3283.640077045,146495151.264969,"post_krill",0.559814571861872,0.513507695670403,0.559814571861872,0.513507695670403,-50048058.7244087,-1501.75269906478,-0.25195580112381,-0.25195580112381,"Post Krill Fishing (2001-2010)"
4.30433941612213e-05,73123680.8976357,3910020292867.61,3147.4914193963,168300544.644274,44158672.717207,41168619.5595264,21765387.5784587,73850759.1391121,2361222852991.82,1900.73915540311,1772.03711877406,936.856156611347,3178.78733473022,101635045.96381,"post_krill",0.603890178600607,0.562999825147718,0.603890178600607,0.562999825147718,-28965008.1804287,-1246.75226399319,-0.219042033505188,-0.219042033505188,"Post Krill Fishing (2001-2010)"
6.17450057694841e-05,39310352.8614388,1465320357642.4,2427.21796422999,90476213.9367724,26434651.7602033,25247514.4827321,13640055.9195879,42419719.1000029,985369770348.983,1632.20772544806,1558.90792740142,842.205331451042,2619.20580056957,60841662.1552731,"post_krill",0.672460302083277,0.642261202073779,0.672460302083276,0.642261202073778,-12875701.1012355,-795.010238781936,-0.172333348641621,-0.172333348641622,"Post Krill Fishing (2001-2010)"
8.85721447336123e-05,19742511.4134436,513018130060.1,1748.63657831652,45439116.0666503,15291961.8574038,14700833.2383225,8227133.07612909,23582435.6378893,397368577520.163,1354.44185889485,1302.08432928939,728.694821561594,2088.74690249023,35195787.1607055,"post_krill",0.774570242719514,0.744628326683501,0.774570242719514,0.744628326683501,-4450549.55603982,-394.194719421673,-0.110939191665651,-0.110939191665651,"Post Krill Fishing (2001-2010)"
0.000127055212400501,9298940.18471231,168449002749.651,1181.47882026818,21402323.8230095,8607592.72199452,8487167.06544352,4900107.70878174,12566361.4716357,155925340016.582,1093.63952155002,1078.33881417847,622.584225724597,1596.62172588015,19811127.1944273,"post_krill",0.925653090676465,0.91270261953041,0.925653090676465,0.91270261953041,-691347.462717783,-87.8392987181553,-0.0335517444553975,-0.0335517444553974,"Post Krill Fishing (2001-2010)"
0.000182258508549024,4076859.88740862,51483190207.9333,743.042402642438,9383249.46264365,4695393.48327233,4752302.83839969,2604436.01519906,6450878.51836873,59294124025.9434,855.775413312024,866.147627500023,474.680623741545,1175.72749758882,10806858.6106893,"post_krill",1.1517181391919,1.16567725397608,1.1517181391919,1.16567725397608,618533.595863717,112.733010669586,0.0613462068899546,0.0613462068899546,"Post Krill Fishing (2001-2010)"
0.000261446683775594,1651544.98095867,14539006997.8495,431.79095837787,3801175.16497791,2474229.49225378,2586644.73217764,1294095.34384508,3440648.37974692,21781326162.4169,646.879095649522,676.269687333452,338.336936137734,899.546108922702,5694655.49339848,"post_krill",1.49813024821011,1.56619696223845,1.49813024821011,1.56619696223845,822684.51129511,215.088137271651,0.175549572789293,0.175549572789293,"Post Krill Fishing (2001-2010)"
0.000375040753934783,613971.897735459,3767883853.04114,230.264483421476,1413110.00098325,1256560.29505249,1328271.28779459,558832.137532375,1881722.24682842,7711384289.02632,471.261320421,498.155865204407,209.584826183128,705.722530146384,2892083.37763728,"post_krill",2.04660881008906,2.16340730364649,2.04660881008906,2.16340730364649,642588.397317032,240.996836999524,0.31103483931358,0.31103483931358,"Post Krill Fishing (2001-2010)"
