"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1961-1970",1961,1970,"spectrum_intercept","structural","absolute",2111,-0.0112380948643676,-0.0105498675656831,0.054296670985126,-0.0316808589149735,-0.0189433521497637,-0.0022071589283863,0.0354111428920794,-0.225026205197164,11.7148878548258,11.6808904745588,11.7420566618009,2111,0.435338702036949,0.0871624822359072,0.0246328754144955,0.0596873519658929,0.0274751302700142,11.7239144996379,0.0499412717488655
"1971-1980",1971,1980,"spectrum_intercept","structural","absolute",2111,-0.0118656349034083,-0.0111525904115071,0.0554926594733209,-0.0332777343089274,-0.0204301330375047,-0.00221740047467112,0.036351486047165,-0.237591765045067,11.7139173304626,11.6809787103884,11.7412666799851,2111,0.434864992894363,0.0847939365229749,0.0236854571293226,0.0601610611084794,0.0246328754144955,11.7239144996379,0.0499412717488655
"1981-1990",1981,1990,"spectrum_intercept","structural","absolute",2111,-0.0188076636773555,-0.0194142612096908,0.0593676083702509,-0.0460466927020624,-0.0281134465213873,-0.00867350584322324,0.0302669895505812,-0.37659560957782,11.7071825641757,11.6720551383483,11.7341791095084,2111,0.437233538607295,0.0881099005210801,0.0274751302700142,0.0753197536712459,0.0127901468498342,11.7239144996379,0.0499412717488655
"1991-2000",1991,2000,"spectrum_intercept","structural","absolute",2111,-0.00688647188136038,-0.00807773823193719,0.0651176731075394,-0.0325238132191696,-0.0155187030204402,0.00354608592267525,0.0411464978286675,-0.137891400042627,11.7196837392829,11.6854717271313,11.745530921079,2111,0.44197063003316,0.0833728090952155,0.024159166271909,0.0521080056845097,0.0312648034107058,11.7239144996379,0.0499412717488655
"2001-2010",2001,2010,"spectrum_intercept","structural","absolute",2111,-0.0182778207521661,-0.020521995159966,0.0697185497521294,-0.0450375090903261,-0.0264174127407255,-0.00801711799195282,0.0309436188803476,-0.365986289738033,11.7094520037459,11.6723724776288,11.7361032926889,2111,0.437233538607295,0.0975840833728091,0.0317385125532923,0.0852676456655613,0.0123164377072477,11.7239144996379,0.0499412717488655
"1841-1850",1841,1850,"mean_tl","structural","absolute",2111,0.000519596061427485,0.000716283265363021,0.000591587429809229,0.000150967294713311,0.000290229439857237,0.000935041690172111,0.00190112664219511,0.00615714252865965,3.52703926307465,3.48478402180715,3.58439293045509,2111,0.502131691141639,0.100900047370914,0.0213169114163903,0.0497394599715775,0.0511605873993368,3.52624380179621,0.0843891560101007
"1851-1860",1851,1860,"mean_tl","structural","absolute",2111,-0.000519596061427929,-0.000716283265363026,0.000591587429809222,-0.00190112664219488,-0.000935041690171889,-0.000290229439857237,-0.000150967294712867,-0.00615714252866491,3.52569448162728,3.48428258940768,3.58271715266543,2111,0.499763145428707,0.0999526290857414,0.0203694931312174,0.0506868782567504,0.049265750828991,3.52624380179621,0.0843891560101007
"1861-1870",1861,1870,"mean_tl","structural","absolute",2111,-0.000808484197039494,-0.00119238488507897,0.00176179120666205,-0.0049292611721341,-0.0016910571747395,-0.000293678954479626,0.00112800497153964,-0.00958042757226681,3.52547725992742,3.48352064910144,3.58365681679286,2111,0.507816200852676,0.102321174798674,0.0203694931312174,0.0540028422548555,0.0483183325438181,3.52624380179621,0.0843891560101007
"1871-1880",1871,1880,"mean_tl","structural","absolute",2111,-0.000918345490448669,-0.00210927338017617,0.00265198367393643,-0.0079184419957754,-0.00270117136570902,-0.000395583794620125,-0.000143269515398003,-0.0108822689296567,3.52481241201674,3.48357430110002,3.5818061539306,2111,0.499763145428707,0.0999526290857414,0.0194220748460445,0.0525817148270962,0.0473709142586452,3.52624380179621,0.0843891560101007
"1881-1890",1881,1890,"mean_tl","structural","absolute",2111,-0.00117620534498597,-0.00258355656197031,0.0037258753751332,-0.011012788878326,-0.00343474224301832,-0.000411137279130447,0.00103531043076255,-0.0139378730703882,3.524166334623,3.48269236288267,3.58227872506216,2111,0.504026527711985,0.101847465656087,0.0184746565608716,0.0554239696826149,0.0464234959734723,3.52624380179621,0.0843891560101007
"1891-1900",1891,1900,"mean_tl","structural","absolute",2111,-0.00129220260158958,-0.00345666555186642,0.00466358384237595,-0.0138939145933465,-0.00452443487952148,-0.000495979642013644,-0.000131294699470264,-0.0153124247555564,3.52374785749804,3.48294452693817,3.58101868712328,2111,0.49265750828991,0.098531501657982,0.0175272382756987,0.054476551397442,0.04405495026054,3.52624380179621,0.0843891560101007
"1901-1910",1901,1910,"mean_tl","structural","absolute",2111,-0.00150996822988603,-0.00385842824437079,0.00578438528561365,-0.0169083594345911,-0.00506815607950184,-0.000512853896590171,0.000982283648751858,-0.0178929177785034,3.5231688532883,3.48240559613968,3.58063778365781,2111,0.497394599715774,0.10279488394126,0.0180009474182852,0.0577925153955471,0.0450023685457129,3.52624380179621,0.0843891560101007
"1911-1920",1911,1920,"mean_tl","structural","absolute",2111,-0.00162110750162281,-0.004619213730401,0.00719717926887838,-0.0197943070565096,-0.00612456841888021,-0.000553879356238962,-7.29348008214892e-05,-0.0192099030049403,3.52256724232348,3.48261910143246,3.5792350268585,2111,0.488867835149218,0.0994789199431549,0.0170535291331123,0.0558976788252013,0.0435812411179536,3.52624380179621,0.0843891560101007
"1921-1930",1921,1930,"mean_tl","structural","absolute",2111,-0.0018439072339973,-0.00484644907620718,0.00932914597157568,-0.022518933929897,-0.00665356115079585,-0.000546661673779258,0.00101043581973781,-0.0218500494752738,3.52227406789377,3.48216894020775,3.5795221318696,2111,0.493604926575083,0.101847465656087,0.0184746565608716,0.05873993368072,0.0431075319753671,3.52624380179621,0.0843891560101007
"1931-1940",1931,1940,"mean_tl","structural","absolute",2111,-0.00474375624916901,-0.011238832274505,0.0212509103639286,-0.0424857887754886,-0.0153048820863821,-0.00170471401492667,-0.000567969187268424,-0.0562128651766729,3.51731794254676,3.47790909877372,3.57112642331758,2111,0.498342018000947,0.0975840833728091,0.0208432022738039,0.0648981525343439,0.0326859308384652,3.52624380179621,0.0843891560101007
"1941-1950",1941,1950,"mean_tl","structural","absolute",2111,-0.00566043088036894,-0.0162288854465201,0.0380234313734361,-0.0657219517669387,-0.0191993028108808,-0.00215511183928552,0.000106937309508837,-0.0670753346519004,3.51202740407693,3.47459588506252,3.56328826509958,2111,0.50734249171009,0.102321174798674,0.0246328754144955,0.0705826622453813,0.0317385125532923,3.52624380179621,0.0843891560101007
"1951-1960",1951,1960,"mean_tl","structural","absolute",2111,-0.00668407366135604,-0.0193685377626268,0.045283089770015,-0.0781503643790789,-0.0224151013842788,-0.00258497663756185,-0.000898564298311033,-0.0792053621268117,3.50907602588886,3.47231651347388,3.559686764824,2111,0.516816674561819,0.103742302226433,0.0260540028422549,0.0743723353860729,0.02936996684036,3.52624380179621,0.0843891560101007
"1961-1970",1961,1970,"mean_tl","structural","absolute",2111,-0.00651759225846282,-0.0197756878732959,0.0465635002535227,-0.0790311972196993,-0.0230997480518176,-0.00244015599331582,6.66304192982192e-05,-0.0772325801869937,3.50866823397147,3.4716782464906,3.55911394933097,2111,0.523922311700616,0.104689720511606,0.0288962576977736,0.0762671719564188,0.0284225485551871,3.52624380179621,0.0843891560101007
