"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1901-1910",1901,1910,"mean_weight","structural","climate",170,-1.00504018868089,-27.8535427344291,112.717628459538,-88.1720232649204,-6.61395131299844,-0.00604676701323115,3.70725434191618,-0.00193159123959384,265.166160557134,231.171348950914,293.825251548608,170,0.0941176470588235,0.0117647058823529,NA,NA,266.404833750776,520.317222443103
"1911-1920",1911,1920,"mean_weight","structural","climate",170,0.632992837466674,-30.5723551280114,130.052792852564,-99.0041499005394,-6.64145075860753,1.72271410656528,5.10257740094806,0.00121655176911983,266.247076280673,233.148149522658,295.031513496987,170,0.0941176470588235,0.0117647058823529,NA,NA,266.404833750776,520.317222443103
"1921-1930",1921,1930,"mean_weight","structural","climate",170,-0.86936484819401,-35.8355604116925,146.052614922234,-115.185933997247,-8.43255804902638,0.37373379301377,5.284753980067,-0.00167083619510418,264.321305415914,231.340907019357,294.072660138901,170,0.0941176470588235,0.0117647058823529,NA,NA,266.404833750776,520.317222443103
"1931-1940",1931,1940,"mean_weight","structural","climate",170,0.79930592692817,-38.1354741486321,161.477661265388,-125.168406072923,-8.20635734841819,2.27105833362171,6.66218911723516,0.00153618964057177,267.885731580995,235.205062866853,296.171714813985,170,0.0941176470588235,0.0117647058823529,NA,NA,266.404833750776,520.317222443103
"1941-1950",1941,1950,"mean_weight","structural","climate",170,-0.678562701188355,-43.1020641736675,176.151465923417,-140.343759853066,-10.154778957543,0.820330649116968,6.90432077254858,-0.00130413269428643,266.84666013143,237.104735904254,292.05746706066,170,0.0941176470588235,0.0117647058823529,NA,NA,266.404833750776,520.317222443103
"1951-1960",1951,1960,"mean_weight","structural","climate",170,0.989346321302932,-45.0704363276362,190.020480882433,-149.538151087974,-9.62232291763321,2.77827143218548,8.21007245319679,0.00190142912559678,266.884691445916,239.469200213464,293.280232339393,170,0.0941176470588235,0.0117647058823529,NA,NA,266.404833750776,520.317222443103
"1961-1970",1961,1970,"mean_weight","structural","climate",170,-0.501330148638885,-49.829840456842,203.64430671812,-163.778775766112,-11.7692036273622,1.29612644876684,8.47545845523072,-0.000963508657824039,266.013275381634,239.6201403299,293.040719340742,170,0.0941176470588235,0.00588235294117647,NA,NA,266.404833750776,520.317222443103
"1971-1980",1971,1980,"mean_weight","structural","climate",170,1.15237777552584,-51.6765676751947,216.579282615101,-172.241692880686,-10.945660108241,3.19927047012534,9.74408223021339,0.0022147600075872,267.349561860392,239.163760923708,289.335513802587,170,0.0941176470588235,0.00588235294117647,NA,NA,266.404833750776,520.317222443103
"1981-1990",1981,1990,"mean_weight","structural","climate",170,-0.322822418702387,-55.7452185222308,226.846360925081,-184.547284692855,-12.0966966532695,2.00185507578814,9.63719959855622,-0.000620433852230767,258.333081723895,232.453289547839,278.547599022976,170,0.0941176470588235,0.00588235294117647,NA,NA,266.404833750776,520.317222443103
"1991-2000",1991,2000,"mean_weight","structural","climate",170,-1.12560431481728,-61.7940558706233,248.001515728717,-198.491834798625,-15.4256650040666,1.79536325621822,10.4441837024835,-0.00216330397354927,257.808679913009,232.622934323907,278.875216791755,170,0.0882352941176471,0.00588235294117647,NA,NA,266.404833750776,520.317222443103
