"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1991-2000",1991,2000,"baleen_biomass","biomass","absolute",170,0.368096927361017,0.381542795125852,0.243265193501319,0.0319694430758172,0.173309008700931,0.618262867100912,0.741802846677911,170,0.952941176470588,0.535294117647059,0.305882352941176,0.647058823529412
"2001-2010",2001,2010,"baleen_biomass","biomass","absolute",170,0.365065275556237,0.375632425063305,0.242751806542836,0.0305926400831089,0.161165767149591,0.61240708926621,0.735618511431335,170,0.964705882352941,0.535294117647059,0.311764705882353,0.658823529411765
"1841-1850",1841,1850,"seal_biomass","biomass","absolute",170,1.00166747896988,1.00344637180878,0.00681796167657532,0.99380223793925,1.00040007815976,1.00567311008483,1.01881878521792,170,0,0,0,NA
"1851-1860",1851,1860,"seal_biomass","biomass","absolute",170,0.998332521030123,0.996553628191219,0.00681796167657532,0.981181214782081,0.994326889915171,0.999599921840239,1.00619776206075,170,0,0,0,NA
"1861-1870",1861,1870,"seal_biomass","biomass","absolute",170,0.995117501178357,0.990398792616137,0.0202417465818208,0.945406795166335,0.983531526060698,0.998940518579809,1.01990272129078,170,0,0,0,NA
"1871-1880",1871,1880,"seal_biomass","biomass","absolute",170,0.992069685136241,0.98445439048214,0.0328097024937882,0.911334333982886,0.973157481143907,0.99819863639552,1.03246116902734,170,0,0,0,NA
"1881-1890",1881,1890,"seal_biomass","biomass","absolute",170,0.989124279271039,0.979118608620935,0.0452763369951375,0.878965487673091,0.963133625750905,0.997783849312343,1.0460924231114,170,0,0,0,NA
"1891-1900",1891,1900,"seal_biomass","biomass","absolute",170,0.985974508241203,0.97393437562483,0.056958543947256,0.848141054996605,0.955267343584068,0.997489958917468,1.05853386294742,170,0,0,0,NA
"1901-1910",1901,1910,"seal_biomass","biomass","absolute",170,0.982903446016217,0.969301905171417,0.068614114956327,0.818876028355428,0.945575864599796,0.997516401059262,1.07223482146895,170,0,0,0,NA
"1911-1920",1911,1920,"seal_biomass","biomass","absolute",170,0.980605465006003,0.964778738274688,0.0795356066294693,0.791011798130332,0.935840071639077,0.997277076595242,1.08509837253386,170,0.00588235294117647,0,0,NA
