"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1881-1890",1881,1890,"spectrum_mle_exponent","structural","climate",2111,0.000413705702394962,0.000346111116165113,0.000400974902870681,-0.000308564914785814,5.65094655617937e-05,0.00065348239048435,0.000799503795689605,0.0127065339410293,-1.4598258407839,-1.48354965521983,-1.43866025220733,2111,0.491236380862151,0.104216011369019,0.0232117479867361,NA,NA,-1.4602261625899,0.0325585013438725
"1891-1900",1891,1900,"spectrum_mle_exponent","structural","climate",2111,-0.000257804203371181,-0.000225303364792904,0.000368716261764605,-0.000582122023117804,-0.000438229945296187,-4.01604910603703e-05,0.00017665137658085,-0.00791818396824645,-1.46039543018021,-1.48444063077836,-1.43913065667681,2111,0.507816200852676,0.098531501657982,0.0203694931312174,NA,NA,-1.4602261625899,0.0325585013438725
"1901-1910",1901,1910,"spectrum_mle_exponent","structural","climate",2111,0.000396123503000112,0.000345431300458307,0.000853723529115,-0.000373427057423492,3.12103680463194e-05,0.000638902472773872,0.000791810919151592,0.0121665152463985,-1.45978758672631,-1.4836045169993,-1.43868151907864,2111,0.492183799147324,0.102321174798674,0.0222643297015632,NA,NA,-1.4602261625899,0.0325585013438725
"1911-1920",1911,1920,"spectrum_mle_exponent","structural","climate",2111,-0.000275105837651113,-6.54591176065429e-05,0.00773500933808517,-0.000671240566467279,-0.00045381836453573,-5.11519824628603e-05,0.00018345495840566,-0.00844958540153716,-1.46037091317508,-1.48438691988436,-1.43897077988232,2111,0.508289909995263,0.0990052108005685,0.0208432022738039,NA,NA,-1.4602261625899,0.0325585013438725
"1921-1930",1921,1930,"spectrum_mle_exponent","structural","climate",2111,0.000384692042080248,0.000575189265255015,0.0091191414472354,-0.000451759020286269,6.71666720464259e-06,0.000623885480661057,0.000788029504364629,0.0118154099913032,-1.45983449415984,-1.48342718800713,-1.43866280190345,2111,0.490762671719564,0.103268593083847,0.0232117479867361,NA,NA,-1.4602261625899,0.0325585013438725
"1931-1940",1931,1940,"spectrum_mle_exponent","structural","climate",2111,-0.000289291476787357,0.000460838626213466,0.0147996698599329,-0.000771188793305622,-0.000467346459563589,-5.73991415547814e-05,0.000185718716465,-0.00888528233323619,-1.46044308081572,-1.48461345893715,-1.43902568181456,2111,0.509237328280436,0.101847465656087,0.0232117479867361,NA,NA,-1.4602261625899,0.0325585013438725
"1941-1950",1941,1950,"spectrum_mle_exponent","structural","climate",2111,0.000375810205918148,0.00162418804734604,0.0214280543939556,-0.000538840005323227,-1.12327790330324e-05,0.000614919802066516,0.000789876317589977,0.0115426137692568,-1.46003174415024,-1.48382936935175,-1.4388849081289,2111,0.495026054002842,0.106110847939365,0.0265277119848413,NA,NA,-1.4602261625899,0.0325585013438725
"1951-1960",1951,1960,"spectrum_mle_exponent","structural","climate",2111,-0.000301349161364817,0.0015871185148084,0.0260688924369998,-0.000863666273217656,-0.000478231096214254,-5.97148868171082e-05,0.000191950244987749,-0.0092556213869325,-1.46049135381319,-1.48480264795561,-1.43907237438467,2111,0.511605873993368,0.103742302226433,0.0255802936996684,NA,NA,-1.4602261625899,0.0325585013438725
"1961-1970",1961,1970,"spectrum_mle_exponent","structural","climate",2111,0.000367744233507272,0.00224005736311734,0.0269888393527694,-0.000623522511095875,-2.41661892679268e-05,0.000608828753857926,0.00078830340934799,0.0112948759411029,-1.4601302327366,-1.48387100292283,-1.43883556387348,2111,0.495973472288015,0.107058266224538,0.0279488394126007,NA,NA,-1.4602261625899,0.0325585013438725
"1971-1980",1971,1980,"spectrum_mle_exponent","structural","climate",2111,-0.000317540773119074,0.00185418431674346,0.0278135287504432,-0.000974275996564522,-0.00049048333213686,-6.54914024501574e-05,0.000213712467921123,-0.00975292965008769,-1.46059638855989,-1.48485459976199,-1.43940893656037,2111,0.512079583135954,0.105163429654192,0.0265277119848413,NA,NA,-1.4602261625899,0.0325585013438725
"1981-1990",1981,1990,"spectrum_mle_exponent","structural","climate",2111,-0.000345050106316247,0.00222032996430672,0.0293866214816759,-0.00122802201476468,-0.0005743877662715,1.16648552237475e-05,0.0018141642942725,-0.0105978497803673,-1.46062379174882,-1.48497982785973,-1.4390916824903,2111,0.516816674561819,0.114163903363335,0.0336333491236381,NA,NA,-1.4602261625899,0.0325585013438725
"1991-2000",1991,2000,"spectrum_mle_exponent","structural","climate",2111,0.00182330731652702,0.0044848427741229,0.0324931731896074,-0.00196682670053738,0.000916868849957897,0.0027574490004515,0.00351200476251023,0.0560009595426348,-1.45866947768393,-1.48150290705508,-1.43820389303615,2111,0.446234012316438,0.0971103742302226,0.024159166271909,NA,NA,-1.4602261625899,0.0325585013438725
"2001-2010",2001,2010,"spectrum_mle_exponent","structural","climate",2111,-0.00107551289442687,0.00229748388536983,0.0345103978986058,-0.00268974208694472,-0.00151423614444746,-0.000512621384376244,0.00121905240375475,-0.0330332432401493,-1.46116514598329,-1.48586994379038,-1.43939558422744,2111,0.529606821411653,0.117006158218854,0.0350544765513974,NA,NA,-1.4602261625899,0.0325585013438725
"1841-1850",1841,1850,"spectrum_lcd_exponent","structural","climate",2111,0.00026188377234293,0.00029345128510257,0.000130482454501993,0.000113158291160209,0.000202298408347179,0.000393416832398685,0.000503809048585824,0.00933369104396363,-2.07442810766298,-2.09345736695777,-2.05325524786165,2111,0.499763145428707,0.098531501657982,0.0208432022738039,NA,NA,-2.07477133455583,0.0280579002571869
"1851-1860",1851,1860,"spectrum_lcd_exponent","structural","climate",2111,-0.000261883772343374,-0.000293451285102564,0.000130482454502003,-0.000503809048586046,-0.000393416832398907,-0.000202298408346957,-0.000113158291160209,-0.00933369104397946,-2.07509492908317,-2.09389108171474,-2.05375387139465,2111,0.501657981999053,0.0999526290857414,0.0208432022738039,NA,NA,-2.07477133455583,0.0280579002571869
"1861-1870",1861,1870,"spectrum_lcd_exponent","structural","climate",2111,-0.000213584048032622,-0.000255231273336223,0.00037935895113953,-0.000914420381973979,-0.000454463506528668,-4.38617654463513e-05,0.000326181774689349,-0.00761226057812055,-2.07490985976055,-2.09399794525101,-2.05379902571431,2111,0.503079109426812,0.0994789199431549,0.0203694931312174,NA,NA,-2.07477133455583,0.0280579002571869
"1871-1880",1871,1880,"spectrum_lcd_exponent","structural","climate",2111,-0.000738490745688214,-0.000886690497759968,0.000534840719603615,-0.00182264771612606,-0.00121394555709964,-0.000556795721676107,-0.000179530716741594,-0.0263202427451446,-2.0757557641336,-2.09441005572148,-2.05451056140674,2111,0.502605400284226,0.0966366650876362,0.019895783988631,NA,NA,-2.07477133455583,0.0280579002571869
"1881-1890",1881,1890,"spectrum_lcd_exponent","structural","climate",2111,-0.000654388640970005,-0.000842524644633931,0.000765937298777279,-0.00222275337318356,-0.00127463652881898,-0.000364104119706665,0.0002353352108313,-0.0233227944704232,-2.07554795623193,-2.09444120813698,-2.05456508409348,2111,0.500236854571293,0.0952155376598768,0.0189483657034581,NA,NA,-2.07477133455583,0.0280579002571869
"1891-1900",1891,1900,"spectrum_lcd_exponent","structural","climate",2111,-0.00120157650097985,-0.00146855257489335,0.00095386099689993,-0.00313316595092439,-0.0020531138757407,-0.000887458051214596,-0.000227185482656544,-0.0428248903148792,-2.07644799399212,-2.09495727037449,-2.05521897958472,2111,0.499763145428707,0.0937944102321175,0.0184746565608716,NA,NA,-2.07477133455583,0.0280579002571869
