"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"2001-2010",2001,2010,"krill_biomass","biomass","climate",2111,0.986319427269058,4.07504556782624,49.7434182363742,0.691298144289553,0.960117654443813,1.00064151499062,1.18292367471481,2111,0.0535291331122691,0.0298436759829465,0.0161061108479394,NA
"1841-1850",1841,1850,"ltl_biomass","biomass","climate",2111,0.999695989273415,0.999763108922602,0.00100467198222111,0.99842239812054,0.999150835535563,1.00033955369639,1.00139761977659,2111,0,0,0,NA
"1851-1860",1851,1860,"ltl_biomass","biomass","climate",2111,1.00030401072659,1.0002368910774,0.00100467198222112,0.998602380223411,0.999660446303611,1.00084916446444,1.00157760187946,2111,0,0,0,NA
"1861-1870",1861,1870,"ltl_biomass","biomass","climate",2111,1.00114395803055,1.00112950414611,0.00249011774652992,0.997649312048431,0.999758340722163,1.00229290182068,1.0041588252589,2111,0,0,0,NA
"1871-1880",1871,1880,"ltl_biomass","biomass","climate",2111,0.999738413670388,0.99983121064589,0.00402193232217614,0.996135984269999,0.998727271534273,1.00061253098417,1.00329973397429,2111,0,0,0,NA
"1881-1890",1881,1890,"ltl_biomass","biomass","climate",2111,1.00055773397099,1.00086022771465,0.00687415629559863,0.995189392687594,0.998896314164207,1.00217643812313,1.00573366568769,2111,0,0,0,NA
"1891-1900",1891,1900,"ltl_biomass","biomass","climate",2111,0.999437933395275,0.999828889882002,0.0126812323595935,0.993209589176944,0.99788353508487,1.0004915656494,1.00560560679031,2111,0,0,0,NA
"1901-1910",1901,1910,"ltl_biomass","biomass","climate",2111,1.00019400706962,1.00150361529674,0.031938181953601,0.992261605892872,0.998092204513167,1.00208018925083,1.00746012866297,2111,0,0,0,NA
"1911-1920",1911,1920,"ltl_biomass","biomass","climate",2111,0.999181121556145,1.00346347062761,0.144495365116574,0.99037164342486,0.996976631015447,1.00042714382064,1.00787383780533,2111,0,0,0,NA
"1921-1930",1921,1930,"ltl_biomass","biomass","climate",2111,0.999858808172331,1.00789354926674,0.197923665389302,0.989617597274336,0.997333956397313,1.00200393212163,1.00925211153617,2111,0,0,0,NA
