"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1971-1980",1971,1980,"whale_biomass","biomass","climate",170,0.854972278601415,0.817547058238194,0.0854087183766592,0.644313931701663,0.80931219312385,0.876425435216426,0.887811026340649,170,0.217647058823529,0,0,0
"1981-1990",1981,1990,"whale_biomass","biomass","climate",170,0.844473105689425,0.805071409938683,0.0903360594550911,0.621640210933937,0.795805820715293,0.867671427962663,0.879603145661421,170,0.217647058823529,0,0,0
"1991-2000",1991,2000,"whale_biomass","biomass","climate",170,0.834062728658366,0.792866389666016,0.0950236825868509,0.599699037957681,0.782538811734282,0.85911313031089,0.871515019948871,170,0.223529411764706,0,0,0
"2001-2010",2001,2010,"whale_biomass","biomass","climate",170,0.823752340490528,0.780932459877638,0.0994821517217541,0.578461013105352,0.769501885594207,0.850425584036618,0.863518290804259,170,0.223529411764706,0,0,0
"1841-1850",1841,1850,"baleen_biomass","biomass","climate",170,1.00614743769842,1.00826971357451,0.00473566128200014,1.0048221194906,1.00520593579892,1.00834491268906,1.01761997898154,170,0,0,0,0
"1851-1860",1851,1860,"baleen_biomass","biomass","climate",170,0.993852562301578,0.991730286425495,0.00473566128200015,0.982380021018464,0.991655087310943,0.994794064201076,0.995177880509398,170,0,0,0,0
"1861-1870",1861,1870,"baleen_biomass","biomass","climate",170,0.981709571489049,0.975588312094179,0.0138141716312233,0.94839685336592,0.975420265693975,0.984555798020484,0.985721081810793,170,0,0,0,0
"1871-1880",1871,1880,"baleen_biomass","biomass","climate",170,0.969707401959119,0.959807310209746,0.022501531660638,0.915596230418514,0.959525939309566,0.974419709193187,0.976332093751708,170,0,0,0,0
"1881-1890",1881,1890,"baleen_biomass","biomass","climate",170,0.957854274326209,0.944403445092238,0.0308220936153481,0.883805802414495,0.944001870385237,0.964499837276018,0.967127807864658,170,0,0,0,0
"1891-1900",1891,1900,"baleen_biomass","biomass","climate",170,0.946156416836121,0.929341524503475,0.0387770195051075,0.853038879537307,0.928823119201167,0.954705076941394,0.95799270372821,170,0,0,0,0
"1901-1910",1901,1910,"baleen_biomass","biomass","climate",170,0.934612869402714,0.914638696733309,0.046389874071148,0.8232875936553,0.913997298640672,0.945010522151015,0.949011589420878,170,0,0,0,0
"1911-1920",1911,1920,"baleen_biomass","biomass","climate",170,0.923214412777976,0.900259896199317,0.0536609917273207,0.794507237424102,0.899499342251992,0.93541297250017,0.940105780584448,170,0,0,0,0
"1921-1930",1921,1930,"baleen_biomass","biomass","climate",170,0.911963278409053,0.886223107266125,0.0606132277805032,0.766686528733057,0.885336927558722,0.925986333190364,0.931338984496586,170,0.00588235294117647,0,0,0
"1931-1940",1931,1940,"baleen_biomass","biomass","climate",170,0.900853482630437,0.872493386535812,0.0672461521354797,0.739781484464871,0.87148499396735,0.916677566871397,0.922664874915299,170,0.117647058823529,0,0,0
"1941-1950",1941,1950,"baleen_biomass","biomass","climate",170,0.889887313256723,0.859089463388176,0.0735819676073963,0.713784258387898,0.857951228297516,0.907555846320827,0.91414811756252,170,0.194117647058824,0,0,0
"1951-1960",1951,1960,"baleen_biomass","biomass","climate",170,0.879058825629029,0.845976536609037,0.0796195260608135,0.68865140333571,0.844710728787333,0.898457399040998,0.905704790871523,170,0.205882352941176,0,0,0
"1961-1970",1961,1970,"baleen_biomass","biomass","climate",170,0.868370362132918,0.833173999703823,0.0853804296093841,0.66437843552014,0.831498517208442,0.889494447522662,0.897416608581232,170,0.211764705882353,0,0,0
"1971-1980",1971,1980,"baleen_biomass","biomass","climate",170,0.857816018110031,0.820647214277733,0.0908628480888233,0.64092226845343,0.818505247810195,0.880626747807043,0.889207495749216,170,0.217647058823529,0,0,0
"1981-1990",1981,1990,"baleen_biomass","biomass","climate",170,0.847402104750919,0.808432209699213,0.0960940971541387,0.618295880819714,0.806076878977366,0.871914896969598,0.881194739233868,170,0.217647058823529,0,0,0
"1991-2000",1991,2000,"baleen_biomass","biomass","climate",170,0.83712588117022,0.796480862381772,0.101065738010819,0.59644340182107,0.794109055980045,0.86329677913228,0.873255702067014,170,0.229411764705882,0,0,0.00588235294117647
