"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_090","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1851-1860",1851,1860,"fish_biomass","biomass","absolute",2111,1.00179274289132,1.00297119485861,0.00372227475685265,1.00019923173576,1.00102584110783,1.00355900538796,1.00967205058065,2111,0,0,0,0,NA
"1861-1870",1861,1870,"fish_biomass","biomass","absolute",2111,0.999861250065864,1.00225411963325,0.00841435189638007,0.994184925542738,0.997303740136767,1.00450893283193,1.01944113189549,2111,0,0,0,0,NA
"1871-1880",1871,1880,"fish_biomass","biomass","absolute",2111,1.00557832129848,1.011416630762,0.0162540581695215,0.999845654907403,1.00232677754689,1.01449294206098,1.04463392816858,2111,0,0,0,0,NA
"1881-1890",1881,1890,"fish_biomass","biomass","absolute",2111,1.00309643403961,1.01042026423826,0.0210784170308095,0.99407497578514,0.99849710596151,1.01484858956798,1.05373827905994,2111,0,0,0,0,NA
"1891-1900",1891,1900,"fish_biomass","biomass","absolute",2111,1.00891882711459,1.01961408530839,0.0298377108942325,0.999476801347356,1.00325867344253,1.02461316905568,1.07972739300488,2111,0,0,0,0,NA
"1901-1910",1901,1910,"fish_biomass","biomass","absolute",2111,1.00639267498012,1.01881893780457,0.0369096235368729,0.993535701956753,0.999574735820516,1.0244747860694,1.08970471648585,2111,0,0,0,0,NA
"1911-1920",1911,1920,"fish_biomass","biomass","absolute",2111,1.0122957281733,1.02894165567329,0.0654150797858656,0.999050239236435,1.00427238133503,1.03474291821386,1.11487719151262,2111,0,0,0,0,NA
"1921-1930",1921,1930,"fish_biomass","biomass","absolute",2111,1.00966075449043,1.02950958173618,0.105190363903701,0.993175304788312,1.00050649805339,1.03400021332112,1.12468683599827,2111,0,0,0,0,NA
"1931-1940",1931,1940,"fish_biomass","biomass","absolute",2111,1.02793395466726,1.08136355930398,0.217432401577111,1.00015877725652,1.00974612978295,1.07355803641941,1.29109169524077,2111,0,0,0,0,NA
"1941-1950",1941,1950,"fish_biomass","biomass","absolute",2111,1.03664866148225,1.13356485682952,0.354913756576806,0.996454030121175,1.01176682355084,1.10533060449224,1.53349992453379,2111,0,0,0,0,NA
