"time","diff_median","diff_q25","diff_q75","diff_q05","diff_q95","n_pairs"
1954,-0.0062276258421714,-0.00969584498175813,-0.0033863560234893,-0.0182708874807008,-0.000761011518086867,212
1955,-0.0067144907247364,-0.0105715757546142,-0.00377717983571468,-0.0186738866931084,-0.000865227791264206,212
1956,-0.00720866766896222,-0.0109145642317294,-0.00401752292830304,-0.0187811171813549,-0.000973463220500941,212
1957,-0.00787806219687648,-0.012106251158909,-0.00427587732852519,-0.0194982299997419,-0.00115397321548964,212
1958,-0.00804276719090258,-0.0126373099557524,-0.0044208985077322,-0.019903725169833,-0.00120982971006157,212
1959,-0.00871266327135989,-0.0138508562794176,-0.00469487587961415,-0.0209606049748606,-0.0014624557978874,212
1960,-0.00903981666164788,-0.0144832298603574,-0.00488056215962296,-0.0215369688955298,-0.00138877191628496,212
1961,-0.00927503699688326,-0.0147569686515526,-0.00494810071696916,-0.0225758147762091,-0.00177928546581446,212
1962,-0.00925428059781241,-0.0148031291727014,-0.00496089940717692,-0.0218505624649283,-0.00146859969869235,212
1963,-0.00934314509763678,-0.0149965722749884,-0.00501222883920316,-0.0219370335308257,-0.001577430702418,212
1964,-0.00954963876727122,-0.0152700763293479,-0.00508913186905879,-0.0219594735405372,-0.00167127569062864,212
1965,-0.00983893203017949,-0.0155696283369007,-0.00523999642975082,-0.0220127120293626,-0.00189118320546906,212
1966,-0.00978986954018168,-0.0155805584159887,-0.00527455832367257,-0.0217779868008321,-0.00171280836102046,212
1967,-0.0098911724764722,-0.0156354391005468,-0.0052998731977284,-0.022303691453784,-0.00195306860943224,212
1968,-0.0100836632538093,-0.0158638270556279,-0.00541601497020727,-0.0217885804124498,-0.00180674496444827,212
1969,-0.0102392708985913,-0.0160223274956497,-0.00548261302617803,-0.021650805211391,-0.00198360740987426,212
1970,-0.0102850992531986,-0.016119726040296,-0.00551085568551346,-0.0214544770295832,-0.00196859170883468,212
1971,-0.0103728587684563,-0.0163603311135204,-0.00561112337953851,-0.0215156711176452,-0.00195915618362506,212
