"ensemble","time","slope_mean","slope_median","slope_sd","slope_min","slope_max","slope_q25","slope_q75","n_sims"
"Exploited",2001,-1.06499018337269,-1.06565961223725,0.012759008014713,-1.10648925935627,-1.03575022954805,-1.07256493254914,-1.05706249747253,212
"Exploited",2002,-1.06785784124506,-1.06840033367684,0.0124915257359162,-1.11484552000302,-1.04160052692024,-1.07475144174599,-1.05969838558718,212
"Exploited",2003,-1.06295453005136,-1.0635660640809,0.0138881527773872,-1.10497683475803,-1.02693109026969,-1.07123048916386,-1.05319684707894,212
"Exploited",2004,-1.06705075985328,-1.06796883491771,0.0126671136779236,-1.11611811493508,-1.03954703627601,-1.07376517597417,-1.05895987884681,212
"Exploited",2005,-1.06885863359529,-1.06914337325301,0.0126191100706996,-1.12216379795208,-1.04344869518617,-1.07568380194507,-1.06046350216357,212
"Exploited",2006,-1.0649089922195,-1.06554842058765,0.0128812686617874,-1.11089168841458,-1.03510564484026,-1.0721615188585,-1.05673414925032,212
"Exploited",2007,-1.06792363896015,-1.06841606889062,0.012412411907173,-1.1141325005366,-1.04133691898933,-1.07457137456811,-1.05979670952103,212
"Exploited",2008,-1.06480510487401,-1.06600359451396,0.0132582743661992,-1.10584111898673,-1.03281624034691,-1.07274821646881,-1.05540197710467,212
"Exploited",2009,-1.06765473688714,-1.06800728036799,0.012708187194475,-1.11288870657487,-1.0390671599174,-1.07467425441619,-1.05923450364284,212
"Exploited",2010,-1.0680757347201,-1.06837769082728,0.0127216477151668,-1.11924218350784,-1.04105223330715,-1.07474598156423,-1.05960982624275,212
"Unexploited",1901,-1.04934135182235,-1.04885061967866,0.0152444409067654,-1.09458891128722,-1.00813453240417,-1.05901600658237,-1.04106844133825,212
"Unexploited",1902,-1.05328762518383,-1.05232212792466,0.0142263790758867,-1.10223729867997,-1.0150463381971,-1.06228191427184,-1.04449606860658,212
"Unexploited",1903,-1.05265049327602,-1.05156255158062,0.0142472794491922,-1.10215790938832,-1.01522213327704,-1.06179120621797,-1.04352655050021,212
