"w","ratio_median","ratio_mean","ratio_q05","ratio_q25","ratio_q75","ratio_q95","climate_ratio_median","climate_ratio_mean","climate_ratio_q05","climate_ratio_q25","climate_ratio_q75","climate_ratio_q95"
0.000537989486348578,1.00219423637799,1.00273656653037,0.980397568908841,1.00029628024211,1.00818968152241,1.03860304270114,1,1.0495646276844,0.373205728287393,0.651192190705919,1.47249747032734,1.778287024546
0.000771736629646219,1.00269013497062,1.00420932458666,0.981332673087097,1.00049120968084,1.00956574602775,1.04356034139462,1,1.19800334400253,0.301494088732095,0.603817128866002,1.8462622699935,2.35835558991156
0.00110704287100476,1.00340493061625,1.00628240976724,0.983065094765541,1.00075718386115,1.01146066873954,1.05226172568014,1,1.44304212195306,0.252026540389557,0.566173561348217,2.30905667515636,3.41578316470892
0.00158803388508885,1.0040709970903,1.00868106917821,0.986368479689869,1.0010055658497,1.01333166397788,1.0615785837517,1,1.84331695117055,0.237319428209937,0.553709104475708,2.93091209959785,5.31475108629676
0.00227800719036431,1.00434225448369,1.01038799325932,0.989286709603114,1.00109971895879,1.01402065589889,1.07012421125417,1,2.38249280531039,0.311692819860104,0.59085565478511,3.49024156421842,8.31319947858915
0.00326776198422312,1.00355343502972,1.00932676171564,0.991525420314124,1.00080635155831,1.01084455660439,1.05948775413019,1,2.2797851306753,0.432695726914087,0.729863729146238,2.75073095071769,8.35665702222619
0.0046875481476536,1.00048107327351,1.00075166332863,0.990400739462946,0.999945438922748,1.00204119827955,1.01307544027314,1,1.00856192574308,0.419482641714752,0.719904444231201,1.29255044133629,1.63784220749654
0.00672420688613729,1.00112531879275,1.00285336469905,0.993227029652484,1.00010015482734,1.00360176055773,1.01954739383616,1,1.01253279304037,0.437217666586033,0.727293599443338,1.2700757826793,1.65113441608702
0.00964575868307804,1.00184757179994,1.00503439288992,0.996035144943501,1.00032453930537,1.00538395018058,1.0272561771046,1,1.01947432334238,0.450775977340344,0.73819641481855,1.24220406259391,1.7205588519245
0.0138366742944791,1.00258667388027,1.00737079164581,0.997710400525075,1.00055863742794,1.00738918798306,1.03698474048645,1,1.03071212818897,0.470361497379486,0.749369264300228,1.23353793920975,1.80740527899842
0.0198484703818451,1.00332930167352,1.00943483689264,0.99891069708377,1.00079686960059,1.00927172880225,1.04542234424335,1,1.04489511569211,0.468271844333159,0.755754951763602,1.22806485362953,1.9171794049191
0.0284722880740333,1.00390717565801,1.01113183514137,0.999251650954638,1.00090670381112,1.01096060475797,1.05299043400958,1,1.06556440618681,0.455699051990337,0.747305562101121,1.25503188041044,2.06515836336793
0.0408430056611436,1.00435282310893,1.01234459492474,0.999277962059665,1.00103764371999,1.01218515874559,1.0575734556708,1,1.08217693299109,0.438513614429632,0.73415722821845,1.27920127812312,2.21199297110623
0.0585885864563713,1.00452928487519,1.01291715277368,0.999254771697918,1.00105477254612,1.01260259963334,1.05937323321963,1,1.10938571871171,0.424365691325984,0.715757378176227,1.30573557484201,2.3868051088962
0.0840443157253079,1.00435876944363,1.01264577648449,0.998905689016642,1.00102747400632,1.01256116982664,1.05913402751976,1,1.16887104674343,0.417505843254329,0.714166871405063,1.39433193282124,2.65015234668931
