"sim_index","valid_sim_index","rmse","rank"
251,251,1.76892986061893,298
1404,1404,1.76987866800406,299
1105,1105,1.77000226635864,300
17,17,1.77050570720851,301
1019,1019,1.77063062967004,302
954,954,1.77067550670319,303
1831,1831,1.77091672893701,304
1796,1796,1.7709500473407,305
1376,1376,1.77107025245741,306
1357,1357,1.77107228371709,307
311,311,1.7713410833376,308
324,324,1.77165444689619,309
574,574,1.77186114878513,310
7,7,1.77191398050102,311
1392,1392,1.77227877096854,312
1656,1656,1.77244419508544,313
45,45,1.77278896542941,314
1491,1491,1.77334353373267,315
239,239,1.77362100627929,316
143,143,1.77366426301652,317
881,881,1.77378192474017,318
1627,1627,1.7744547139516,319
426,426,1.77447642343842,320
1448,1448,1.77500877182121,321
425,425,1.7756009784742,322
100,100,1.77579244920406,323
1770,1770,1.77604421165045,324
316,316,1.7761573122289,325
571,571,1.7762817075623,326
769,769,1.77639173776183,327
150,150,1.77670179434782,328
1040,1040,1.77686052735505,329
359,359,1.77689422066134,330
1073,1073,1.77692056196857,331
936,936,1.77696323165583,332
242,242,1.77712957971034,333
1365,1365,1.77717241524207,334
2076,2076,1.77779345366822,335
631,631,1.77805590536421,336
1317,1317,1.7785651089639,337
378,378,1.77898136435137,338
1067,1067,1.77907114666895,339
1042,1042,1.77910406395488,340
1547,1547,1.77973643378922,341
81,81,1.77998221303182,342
1883,1883,1.78014532869007,343
399,399,1.78020894322617,344
1455,1455,1.78020894322617,345
832,832,1.78027894185221,346
30,30,1.78032650301748,347
1429,1429,1.7805000459819,348
738,738,1.78066244756734,349
1228,1228,1.78081300015438,350
674,674,1.78135676921412,351
429,429,1.78158116467405,352
779,779,1.78196590993731,353
979,979,1.78241083861729,354
480,480,1.78281186457179,355
95,95,1.78297360668516,356
106,106,1.78322710601881,357
808,808,1.78328032376922,358
1417,1417,1.7835461115511,359
19,19,1.78373387035395,360
552,552,1.78375453580421,361
770,770,1.78407821915289,362
137,137,1.78445341764736,363
1156,1156,1.78461248131526,364
714,714,1.78480292742137,365
467,467,1.78491937930404,366
550,550,1.78505785331267,367
1420,1420,1.7857248296877,368
51,51,1.78574030520742,369
1618,1618,1.78581246516837,370
658,658,1.78599918632837,371
1726,1726,1.7860349311258,372
1178,1178,1.78603565171015,373
719,719,1.7866622473563,374
561,561,1.78676892637615,375
519,519,1.7868014597989,376
194,194,1.78683177701584,377
156,156,1.78684040820752,378
805,805,1.78741566859245,379
350,350,1.78754573290975,380
154,154,1.78761941870263,381
520,520,1.78783603705024,382
332,332,1.78792831341716,383
489,489,1.78856064631139,384
1760,1760,1.7891574788728,385
1704,1704,1.78917167514357,386
504,504,1.78933598095596,387
412,412,1.78941452133001,388
1945,1945,1.78957430458139,389
2002,2002,1.78957430458139,390
2,2,1.78975622535184,391
593,593,1.78990194754707,392
545,545,1.7900358121923,393
1557,1557,1.79006488402232,394
364,364,1.79049309649922,395
2020,2020,1.79052126068636,396
1190,1190,1.79065259500909,397
1021,1021,1.79106142112911,398
945,945,1.79106236476894,399
486,486,1.79126471533174,400
556,556,1.79133768287696,401
293,293,1.79135785946633,402
1327,1327,1.79135785946633,403
300,300,1.79141227526247,404
104,104,1.79175064316103,405
1490,1490,1.79199084658026,406
1430,1430,1.79204259816979,407
310,310,1.79217693465861,408
1351,1351,1.79217693465861,409
652,652,1.79250541799122,410
2059,2059,1.79255782471779,411
1015,1015,1.79256876073522,412
513,513,1.7928383495642,413
1408,1408,1.79306896772476,414
667,667,1.79332857213998,415
1409,1409,1.79348984232684,416
159,159,1.79412434416828,417
20,20,1.79413499035873,418
1214,1214,1.79481941034499,419
432,432,1.79488149800286,420
823,823,1.79494059844415,421
16,16,1.79516282993918,422
411,411,1.79527477497847,423
1472,1472,1.79575800299123,424
917,917,1.79583215824578,425
1486,1486,1.79589033545172,426
529,529,1.79605802208949,427
134,134,1.79608542203663,428
624,624,1.79640184514107,429
642,642,1.79655054622136,430
507,507,1.7967278433458,431
1527,1527,1.7967386881962,432
427,427,1.7968496059406,433
1377,1377,1.79704284483136,434
1390,1390,1.79713197469437,435
621,621,1.79736083168423,436
1849,1849,1.79777236765381,437
122,122,1.79782194378844,438
790,790,1.79796261867686,439
680,680,1.79897195824745,440
261,261,1.79925164573816,441
18,18,1.79934882647654,442
1487,1487,1.79961611253641,443
499,499,1.79964809555818,444
1823,1823,1.7997173946872,445
720,720,1.79988742379165,446
189,189,1.79991563344779,447
1261,1261,1.79998513644723,448
1352,1352,1.80006274180575,449
1114,1114,1.8014952168906,450
1778,1778,1.8016049128192,451
121,121,1.80184449396183,452
79,79,1.8018908132921,453
308,308,1.80207184791822,454
1349,1349,1.80207184791822,455
231,231,1.80250416864632,456
633,633,1.80257671151925,457
994,994,1.80278943830583,458
250,250,1.80284600648479,459
456,456,1.8029859735503,460
1525,1525,1.8029859735503,461
1944,1944,1.80310993168007,462
2001,2001,1.80310993168007,463
