"Year","signal_med","signal_mean","signal_q25","signal_q75","noise","snr_med","snr_mean","snr_q25","snr_q75","metric","window","align","baseline"
2008,-1586900755979.62,-3469931235273.21,-4804012107655.21,-696935095255.066,1686672488924.52,-0.940847002841366,-2.05726438182778,-2.84821869046932,-0.413201199303048,"Biomass","10yr","trailing","base1901_1929"
2009,-1586672767587.83,-3467815661631.21,-4791275310270.86,-698704449433.957,1686672488924.52,-0.940711832324693,-2.05601009348437,-2.84066725563654,-0.414250219898634,"Biomass","10yr","trailing","base1901_1929"
2010,-1572819038977.96,-3509872210864.08,-4813825005295.97,-703384445032.408,1686672488924.52,-0.932498187588778,-2.08094472039566,-2.85403659388874,-0.417024911268288,"Biomass","10yr","trailing","base1901_1929"
1900,0,6.56415831367925e-05,-0.002685546875,0.001220703125,318493246684.833,0,2.06100392457453e-16,-8.43203710896105e-15,3.83274414043684e-15,"Biomass variability","10yr","trailing","base1901_1929"
1901,0,0.00032935952240566,-0.002685546875,0.001220703125,318493246684.833,0,1.03411775864617e-15,-8.43203710896105e-15,3.83274414043684e-15,"Biomass variability","10yr","trailing","base1901_1929"
1902,0,-0.00014049602004717,-0.002685546875,0.001953125,318493246684.833,0,-4.41127155786127e-16,-8.43203710896105e-15,6.13239062469894e-15,"Biomass variability","10yr","trailing","base1901_1929"
1903,0,8.40672906839623e-05,-0.002685546875,0.00146484375,318493246684.833,0,2.63953134199895e-16,-8.43203710896105e-15,4.59929296852421e-15,"Biomass variability","10yr","trailing","base1901_1929"
1904,0,-0.00010364460495283,-0.003173828125,0.00152587890625,318493246684.833,0,-3.25421672301241e-16,-9.96513476513578e-15,4.79093017554605e-15,"Biomass variability","10yr","trailing","base1901_1929"
1905,0,-0.000355846477004717,-0.00244140625,0.000732421875,318493246684.833,0,-1.11728107490093e-15,-7.66548828087368e-15,2.2996464842621e-15,"Biomass variability","10yr","trailing","base1901_1929"
1906,0,-0.000352391656839623,-0.001953125,0.00146484375,318493246684.833,0,-1.10643368582422e-15,-6.13239062469894e-15,4.59929296852421e-15,"Biomass variability","10yr","trailing","base1901_1929"
1907,0,-0.000131283166273585,-0.00244140625,0.00146484375,318493246684.833,0,-4.12200784914905e-16,-7.66548828087368e-15,4.59929296852421e-15,"Biomass variability","10yr","trailing","base1901_1929"
1908,0,-0.000199227962853774,-0.001953125,0.00152587890625,318493246684.833,0,-6.25532770090163e-16,-6.13239062469894e-15,4.79093017554605e-15,"Biomass variability","10yr","trailing","base1901_1929"
1909,0,-0.000270051776238208,-0.003173828125,0.00152587890625,318493246684.833,0,-8.47904246162678e-16,-9.96513476513578e-15,4.79093017554605e-15,"Biomass variability","10yr","trailing","base1901_1929"
1910,0,-0.000199803766214623,-0.002685546875,0.0013427734375,318493246684.833,0,-6.27340668269615e-16,-8.43203710896105e-15,4.21601855448052e-15,"Biomass variability","10yr","trailing","base1901_1929"
1911,0,-0.000344330409787736,-0.00274658203125,0.00128173828125,318493246684.833,0,-1.0811231113119e-15,-8.62367431598289e-15,4.02438134745868e-15,"Biomass variability","10yr","trailing","base1901_1929"
1912,0,1.66982974646226e-05,-0.00299072265625,0.00250244140625,318493246684.833,0,5.24290472040888e-17,-9.39022314407025e-15,7.85712548789552e-15,"Biomass variability","10yr","trailing","base1901_1929"
1913,0,-0.000161800744398585,-0.0030517578125,0.002685546875,318493246684.833,0,-5.08019388425826e-16,-9.5818603510921e-15,8.43203710896105e-15,"Biomass variability","10yr","trailing","base1901_1929"
