"","date","tos","date_tidy"
"426","Jun_1996",-1.33190099471055,1996-06-01
"427","Jul_1996",-1.50661816816735,1996-07-01
"428","Aug_1996",-1.65125207857108,1996-08-01
"429","Sep_1996",-1.70546363000784,1996-09-01
"430","Oct_1996",-1.68021317104685,1996-10-01
"431","Nov_1996",-1.48305736657762,1996-11-01
"432","Dec_1996",-0.875446979977533,1996-12-01
"433","Jan_1997",0.667581014219101,1997-01-01
"434","Feb_1997",0.865586902264019,1997-02-01
"435","Mar_1997",0.167236512141011,1997-03-01
"436","Apr_1997",-0.513189009472586,1997-04-01
"437","May_1997",-0.960958078315522,1997-05-01
"438","Jun_1997",-1.27920666613241,1997-06-01
"439","Jul_1997",-1.49283014301197,1997-07-01
"440","Aug_1997",-1.62302366868141,1997-08-01
"441","Sep_1997",-1.69844731603916,1997-09-01
"442","Oct_1997",-1.69961516061755,1997-10-01
"443","Nov_1997",-1.59775773282011,1997-11-01
"444","Dec_1997",-1.11039738707069,1997-12-01
"445","Jan_1998",0.149491621766557,1998-01-01
"446","Feb_1998",0.631254243572639,1998-02-01
"447","Mar_1998",0.193620312917432,1998-03-01
"448","Apr_1998",-0.55454299503525,1998-04-01
"449","May_1998",-1.12767091399038,1998-05-01
"450","Jun_1998",-1.3906870832323,1998-06-01
"451","Jul_1998",-1.51687548627114,1998-07-01
"452","Aug_1998",-1.61381089673788,1998-08-01
"453","Sep_1998",-1.6672254991541,1998-09-01
"454","Oct_1998",-1.67035486625783,1998-10-01
"455","Nov_1998",-1.53395013691583,1998-11-01
"456","Dec_1998",-1.23679103079636,1998-12-01
"457","Jan_1999",-0.474178030499498,1999-01-01
"458","Feb_1999",0.385573837593194,1999-02-01
"459","Mar_1999",0.0622411470345624,1999-03-01
"460","Apr_1999",-0.633855266397874,1999-04-01
"461","May_1999",-1.1022561509283,1999-05-01
"462","Jun_1999",-1.36749278940929,1999-06-01
"463","Jul_1999",-1.57714497029766,1999-07-01
"464","Aug_1999",-1.69697423776057,1999-08-01
"465","Sep_1999",-1.74326594142975,1999-09-01
"466","Oct_1999",-1.75812625929098,1999-10-01
"467","Nov_1999",-1.68769423618106,1999-11-01
"468","Dec_1999",-1.43820863646916,1999-12-01
"469","Jan_2000",-0.809610937156062,2000-01-01
"470","Feb_2000",-0.182006997072486,2000-02-01
"471","Mar_2000",-0.385657726604787,2000-03-01
"472","Apr_2000",-0.773251173268247,2000-04-01
"473","May_2000",-1.18556613671571,2000-05-01
"474","Jun_2000",-1.35258098076795,2000-06-01
"475","Jul_2000",-1.54037310801324,2000-07-01
"476","Aug_2000",-1.67645247229434,2000-08-01
"477","Sep_2000",-1.74049650518163,2000-09-01
"478","Oct_2000",-1.72122777936581,2000-10-01
"479","Nov_2000",-1.63325151971457,2000-11-01
"480","Dec_2000",-1.11658233224052,2000-12-01
"481","Jan_2001",0.0424780965241281,2001-01-01
"482","Feb_2001",0.429731660919766,2001-02-01
"483","Mar_2001",-0.00802254024868048,2001-03-01
"484","Apr_2001",-0.769868362998447,2001-04-01
"485","May_2001",-1.24507862096152,2001-05-01
"486","Jun_2001",-1.47720383736266,2001-06-01
"487","Jul_2001",-1.65983157498334,2001-07-01
"488","Aug_2001",-1.74188838068212,2001-08-01
"489","Sep_2001",-1.76900289517204,2001-09-01
"490","Oct_2001",-1.7332430583314,2001-10-01
"491","Nov_2001",-1.68068474745927,2001-11-01
"492","Dec_2001",-1.39655771828351,2001-12-01
"493","Jan_2002",-0.826828317393166,2002-01-01
"494","Feb_2002",-0.47601673885729,2002-02-01
"495","Mar_2002",-0.424300640214195,2002-03-01
"496","Apr_2002",-0.796372683532212,2002-04-01
"497","May_2002",-1.17506069907596,2002-05-01
"498","Jun_2002",-1.40045285220809,2002-06-01
"499","Jul_2002",-1.62124568368474,2002-07-01
"500","Aug_2002",-1.67650530270868,2002-08-01
"501","Sep_2002",-1.71860534439907,2002-09-01
"502","Oct_2002",-1.71769413374323,2002-10-01
"503","Nov_2002",-1.54995725154712,2002-11-01
"504","Dec_2002",-0.872389807469347,2002-12-01
"505","Jan_2003",0.613979912440971,2003-01-01
"506","Feb_2003",0.79343055438904,2003-02-01
"507","Mar_2003",0.415496044302546,2003-03-01
"508","Apr_2003",-0.435241588327363,2003-04-01
"509","May_2003",-1.02276579520771,2003-05-01
"510","Jun_2003",-1.32678204145253,2003-06-01
"511","Jul_2003",-1.47681828801554,2003-07-01
"512","Aug_2003",-1.5936546095939,2003-08-01
"513","Sep_2003",-1.65711070142933,2003-09-01
"514","Oct_2003",-1.64844399779088,2003-10-01
"515","Nov_2003",-1.52218568016981,2003-11-01
"516","Dec_2003",-0.924972336111024,2003-12-01
"517","Jan_2004",0.33494396187038,2004-01-01
"518","Feb_2004",0.821086053891339,2004-02-01
"519","Mar_2004",0.117984510533693,2004-03-01
"520","Apr_2004",-0.651881832367851,2004-04-01
"521","May_2004",-1.06231628613558,2004-05-01
"522","Jun_2004",-1.36811817936168,2004-06-01
"523","Jul_2004",-1.54757254247871,2004-07-01
"524","Aug_2004",-1.6698904667015,2004-08-01
"525","Sep_2004",-1.71909805568412,2004-09-01
"526","Oct_2004",-1.74295769118802,2004-10-01
"527","Nov_2004",-1.63638193569891,2004-11-01
"528","Dec_2004",-1.19230419911037,2004-12-01
"529","Jan_2005",-0.143392211452836,2005-01-01
"530","Feb_2005",0.289111451936067,2005-02-01
"531","Mar_2005",0.0103024947672916,2005-03-01
"532","Apr_2005",-0.706760118292123,2005-04-01
"533","May_2005",-1.20652777146363,2005-05-01
"534","Jun_2005",-1.42299229263844,2005-06-01
"535","Jul_2005",-1.60540786516218,2005-07-01
"536","Aug_2005",-1.70298339569538,2005-08-01
"537","Sep_2005",-1.73927472248421,2005-09-01
"538","Oct_2005",-1.729574173568,2005-10-01
"539","Nov_2005",-1.65123874681754,2005-11-01
"540","Dec_2005",-1.07514752236299,2005-12-01
"541","Jan_2006",0.221880087087134,2006-01-01
"542","Feb_2006",0.385588507021552,2006-02-01
"543","Mar_2006",0.0205121705652177,2006-03-01
