"sim_index","valid_sim_index","rmse","cor_raw","cor_log","rank","pass_corr"
1774,1774,1.71031038442418,0.192347306418193,0.914901312074688,108,TRUE
1864,1864,1.71180226015504,0.796653660471057,0.920257955599863,109,TRUE
665,665,1.71251197198007,0.769857058592969,0.913652051842735,110,TRUE
1423,1423,1.71294033745641,0.941265407737942,0.914813170762688,111,TRUE
487,487,1.71418715966479,0.847895928000859,0.913535429643134,112,TRUE
837,837,1.71422972660769,0.554410197264443,0.91598296814736,113,TRUE
1454,1454,1.71490220784258,0.127405836309989,0.913142080765126,114,TRUE
527,527,1.71648723863493,0.323091120369649,0.912898658903507,115,TRUE
327,327,1.71698660972924,0.300172919569634,0.915313745556629,116,TRUE
739,739,1.7171395541351,0.939387726984124,0.912803570981927,117,TRUE
649,649,1.71798191757356,0.567872460558714,0.91268539043955,118,TRUE
409,409,1.71814361098116,0.160233138663481,0.916211233517546,119,TRUE
573,573,1.71832682930897,0.822655161341486,0.912756245107414,120,TRUE
694,694,1.71876723472915,0.815539325775219,0.916285921499292,121,TRUE
41,41,1.71922823785251,0.505797546215363,0.912661529785459,122,TRUE
1811,1811,1.72055345958112,0.978028020648176,0.912884333233397,123,TRUE
1861,1861,1.72076520119513,0.866314724278047,0.919930429904937,124,TRUE
346,346,1.72151518658402,0.489893761005774,0.912419623592524,125,TRUE
1603,1603,1.72168001334599,0.710150860710492,0.912969744462874,126,TRUE
437,437,1.72205049194165,0.249070148542351,0.91485729462449,127,TRUE
269,269,1.72310015272484,0.0342984516187914,0.915160708392891,128,TRUE
701,701,1.72346951557116,0.215194352956894,0.912238564909101,129,TRUE
894,894,1.72350810917116,0.13281651270603,0.921998802102383,130,TRUE
1836,1836,1.72396999879023,0.0300893861100748,0.915779716548063,131,TRUE
234,234,1.72437945475164,0.952781777957954,0.912244792668043,132,TRUE
1271,1271,1.72439720108746,0.560258503969407,0.91307411434843,133,TRUE
1061,1061,1.72441969611297,0.653802095408689,0.91309365739048,134,TRUE
257,257,1.72481553762347,0.958736376728219,0.911921021707793,135,TRUE
1394,1394,1.72517859597314,0.442340562171793,0.912044857868404,136,TRUE
208,208,1.72542068769334,0.0859064719906844,0.915174732602557,137,TRUE
946,946,1.72569254448037,0.910313213913788,0.912198878070102,138,TRUE
196,196,1.72571284118143,0.739880501406203,0.912463949176817,139,TRUE
1958,1958,1.72588862064955,0.745286398243801,0.914752070655313,140,TRUE
2019,2019,1.72588862064955,0.745286398243801,0.914752070655313,141,TRUE
749,749,1.7263458124202,0.806364921496357,0.912176646217302,142,TRUE
292,292,1.72642423203335,0.132752835265875,0.91194324988453,143,TRUE
397,397,1.72683137309261,0.827359497878667,0.915232771267481,144,TRUE
331,331,1.72729810397754,0.845288642441118,0.912945744821957,145,TRUE
1374,1374,1.72729810397754,0.845288642441118,0.912945744821957,146,TRUE
675,675,1.7275234685159,0.277265926297531,0.912324114080613,147,TRUE
108,108,1.72815034340585,0.980078806660634,0.911751395450268,148,TRUE
1763,1763,1.72839579418731,0.565747116342945,0.913986862388012,149,TRUE
29,29,1.72858550890437,0.845152503906045,0.912663543254151,150,TRUE
653,653,1.72885533862624,0.942746455965004,0.911508331945046,151,TRUE
2045,2045,1.72900137157198,0.685995305581837,0.923225092698905,152,TRUE
337,337,1.7291937083184,0.972935087132223,0.911552652354275,153,TRUE
1592,1592,1.73022623438446,0.055237901606652,0.917462870317442,154,TRUE
671,671,1.73040319821339,0.197748752517453,0.912482921197387,155,TRUE
1096,1096,1.73073184499417,0.464176528204416,0.912411492997716,156,TRUE
1326,1326,1.73092982289794,0.0974247117234257,0.911491129978897,157,TRUE
1838,1838,1.731189286042,0.329837655630998,0.913506204169266,158,TRUE
1648,1648,1.7319131818922,0.431387391167173,0.912222135436878,159,TRUE
405,405,1.73203557805615,0.288876877716152,0.912550457917466,160,TRUE
1433,1433,1.73203628183727,0.0538731963725665,0.912014154773155,161,TRUE
140,140,1.73291720094843,0.074794678878727,0.91902285569643,162,TRUE
282,282,1.73349172799753,0.684701023048121,0.918135911141672,163,TRUE
1788,1788,1.73434986050133,0.4339416816057,0.915498969607644,164,TRUE
614,614,1.7345353701582,0.674160092093566,0.910862538412894,165,TRUE
85,85,1.73484499256276,0.126755916499926,0.913929680760024,166,TRUE
135,135,1.73499730669941,0.242410470794535,0.911812564371439,167,TRUE
863,863,1.73506259140584,0.787618733981698,0.911885095444384,168,TRUE
1348,1348,1.73511706549662,0.976077498949746,0.912752961482703,169,TRUE
742,742,1.73538928814675,0.570685388225425,0.911799638699309,170,TRUE
895,895,1.73548803930559,0.825543230130839,0.911715777741797,171,TRUE
1869,1869,1.73552656844841,0.674732722381429,0.916833369063188,172,TRUE
213,213,1.73605292506691,0.506305346984074,0.911490455615507,173,TRUE
660,660,1.73619881385245,0.24454515872101,0.911172152492064,174,TRUE
843,843,1.7363778194331,0.0383515303413798,0.911830244645954,175,TRUE
960,960,1.73667460986751,0.908509204995399,0.912459156603427,176,TRUE
1775,1775,1.73686495507248,0.398886666711061,0.913358820438616,177,TRUE
1818,1818,1.73704495583159,0.341283673764938,0.913005261120909,178,TRUE
764,764,1.73752555930478,0.972013579205745,0.910642699054803,179,TRUE
590,590,1.73773435133844,0.964534648194062,0.91046049386466,180,TRUE
77,77,1.7380754159763,0.0747878326630662,0.911506125816391,181,TRUE
476,476,1.73813015887267,0.401458714483573,0.911058712678087,182,TRUE
1650,1650,1.73846723440159,0.284714554570326,0.911542612412338,183,TRUE
1098,1098,1.73913914704875,0.277259444731857,0.911490277924542,184,TRUE
1026,1026,1.73922787996209,0.0999782206733031,0.910572418230549,185,TRUE
1564,1564,1.73970742110896,0.197820055657378,0.911441580456865,186,TRUE
1010,1010,1.74038917002169,0.910151128829707,0.913396252032346,187,TRUE
725,725,1.74110301620507,0.893888129310388,0.91065789580413,188,TRUE
281,281,1.74221513173195,0.963521618462304,0.910069247956949,189,TRUE
34,34,1.74223468829379,0.976895772044046,0.910391556302315,190,TRUE
580,580,1.74285077904157,0.0943692437488758,0.911051769381756,191,TRUE
505,505,1.74291997074005,0.981440302667243,0.910466271268903,192,TRUE
564,564,1.7430619853306,0.816307995152408,0.910198668399854,193,TRUE
430,430,1.74309115025504,0.555747443809473,0.910158677683222,194,TRUE
24,24,1.74312834592216,0.653582704488302,0.912378731748268,195,TRUE
703,703,1.74324962820176,0.0480804199651364,0.911654517471074,196,TRUE
379,379,1.74356717541465,0.0502524189183054,0.910257580871042,197,TRUE
