"time","median","q05","q25","q75","q95"
34310,4.53493802316292,3.12958861480055,3.77612424885884,5.45357914978343,7.56961393066479
34675,4.50220068464713,3.08769787972562,3.74121290100191,5.41961705841571,7.55300017395613
35040,4.45213262687815,3.05744295063912,3.69364113147671,5.38100480341391,7.50552307268
35405,4.42272961502443,3.01951334454476,3.65306688305064,5.35557614049499,7.53108738595347
35770,4.36941678045554,2.97505200269876,3.60012084262413,5.31730960524512,7.52827857233985
36135,4.60220333648844,3.14383990182819,3.8081463878631,5.54310021173177,7.81807978701154
36500,4.47733208303687,3.05350924090924,3.71033741870104,5.42522962390914,7.65279650411109
36865,4.64625463325883,3.20688957482387,3.86469944381709,5.55947099900402,7.78045673798456
37230,4.68570039180063,3.24194803230087,3.91849538715191,5.6048241932948,7.72724931234466
37595,4.60462177818411,3.18988448396669,3.85249012124849,5.50383294406354,7.59020943802236
37960,4.4036630171481,3.03694877710368,3.66299929846696,5.30405685570354,7.37108383487984
38325,4.47070290315675,3.07326777273575,3.70803409320819,5.39158849219644,7.53882594986689
38690,4.35290476504576,2.96925885302188,3.60077829322617,5.29456354685168,7.47288038689409
39055,4.51209179719004,3.08314879660546,3.72699703310646,5.4529430429058,7.68268558977748
39420,4.51944440642261,3.09032939674257,3.7405814533769,5.44020019833181,7.66614680150529
39785,4.48857797277506,3.08966791433131,3.72943341481689,5.40549222236053,7.59584981036817
40150,4.53831572102467,3.11927235375123,3.76773726516296,5.44734951432922,7.62586955494547
40515,4.63440574229313,3.20059059993694,3.86017592720184,5.53251288369262,7.71180607180484
40880,4.60406781117451,3.18431103761054,3.84672485863657,5.50115852529037,7.63201152765419
41245,4.52407615943937,3.12093022511972,3.76830541947103,5.40751579725557,7.50605057636838
41610,4.53118750448061,3.11577833546279,3.76970173252337,5.4346684646293,7.57570049179816
41975,4.50057077940974,3.07912277505836,3.73579444154291,5.40452061018338,7.55815506444623
42340,4.44790387257132,3.05266374688841,3.68985203902538,5.36256984385381,7.56117469342459
42705,4.41629882970174,3.00789877081587,3.64598099960017,5.34055048414301,7.56593657880796
43070,4.35939872908573,2.96655539892152,3.59228189480068,5.30183226879181,7.55617842324108
43435,4.5977925833733,3.13995823256419,3.80066240276069,5.52179374174878,7.82136404752891
43800,4.46764179992949,3.04584215818322,3.70479764956127,5.40940251302369,7.67547508337953
44165,4.63709925732431,3.20268034212229,3.85886195823689,5.54961943187815,7.78922085861149
44530,4.68327587670135,3.239719212362,3.91693568536909,5.57495640758239,7.76032669163439
44895,4.59550555202837,3.18350510242504,3.84400841139693,5.48851433958745,7.58926000278069
45260,4.39249255810716,3.03020203318167,3.66125138640053,5.29286924846504,7.3834192844702
45625,4.46834648317728,3.06694370055327,3.70530348730786,5.3726749724834,7.54666984646521
45990,4.34446653804624,2.96784352323718,3.59438641563458,5.2703711301113,7.48463909618133
46355,4.5091630104251,3.07189998789155,3.72398197575843,5.43358790738389,7.70673793563588
46720,4.50474303163043,3.07984481869781,3.7385744629055,5.42456767204448,7.67146604030626
47085,4.48311025314869,3.0836210079483,3.72467126964587,5.38593585860923,7.6147902359387
47450,4.5219560433544,3.10140145860457,3.76260581237075,5.42873865748046,7.63594397015158
47815,4.62482477759754,3.19525863544183,3.85944816974012,5.51358292053222,7.72085127974047
48180,4.59738275611236,3.18141000708523,3.84403097435686,5.48393702091688,7.62772607569067
48545,4.51756518446656,3.1116030754528,3.76663544596194,5.39297902400931,7.52753627386221
48910,4.52791534982358,3.11278466310978,3.76870974188854,5.41953574275167,7.57563575349716
49275,4.49020686271884,3.07660358926598,3.72861896177512,5.38451046345368,7.56334618609439
49640,4.44323867571836,3.05044442827685,3.68678591776647,5.35408825074398,7.5702082769317
50005,4.40284568557323,3.00011605183759,3.64387451154635,5.32610432138863,7.58984607573397
50370,4.34956575910303,2.95515529816408,3.58955673251577,5.28956774905766,7.55719472107183
50735,4.58290905160801,3.13743126025485,3.79980119816545,5.51525830595775,7.83613036871807
51100,4.46274723085621,3.04314341216702,3.70221046943021,5.40145982146694,7.66062952347562
51465,4.44191407394866,3.03268176417941,3.6722284628661,5.35938779574623,7.63425921976918
51830,4.53161896758328,3.07897272582782,3.74432205757758,5.46242684549234,7.78387983606919
52195,4.6165102605223,3.1621910061663,3.836664671941,5.54515848578496,7.85664516708352
52560,4.46572743027403,3.04833686697802,3.70377856188004,5.38164688660151,7.66147535705925
52925,4.5172192912104,3.09039191934222,3.74165632934692,5.43421236081681,7.73323829869125
53290,4.3911422802039,2.98193655860005,3.62712041236245,5.3292777278967,7.62878899712024
53655,4.42483674035704,3.00933429541479,3.6573452240328,5.35268882391012,7.67204206874346
54020,4.51789228423911,3.0733635941585,3.74850353411844,5.43779730676637,7.76217378679333
54385,4.69761524957707,3.23223049066375,3.91306192876028,5.61469939284676,7.92207946076561
54750,4.51628482780544,3.10253435830937,3.76745050376863,5.4143542923683,7.64385740719976
55115,4.50408515236747,3.09904135764483,3.75479928302583,5.39146282428395,7.62183291768319
55480,4.62154490125362,3.19793079575846,3.87070849074402,5.51481099488036,7.71572701451725
55845,4.72866741168077,3.29866887307907,3.9734322584363,5.60034169807683,7.76572207682711
56210,4.62949932999957,3.21038885524847,3.88762408100654,5.50120171660472,7.64781722044231
56575,4.56855732593248,3.15804876529208,3.83050507317091,5.43256443898875,7.56385597163417
56940,4.61552535919839,3.20980049709072,3.87616484843533,5.47582597355622,7.64002486688401
57305,4.59121964486335,3.19868056771212,3.85884082148519,5.44892024031113,7.59058455826032
57670,4.63361165253089,3.23880757262293,3.89162520427237,5.4880046694098,7.62250820398211
58035,4.51406148619349,3.13645295301271,3.77630645737454,5.38131005887501,7.51263020873556
58400,4.34025654014366,3.00453133714149,3.61485915263685,5.24561084223879,7.41646034900553
58765,4.50907889059201,3.09726874494652,3.73745337746075,5.4198529387234,7.71569512681228
59130,4.28504591606963,2.92344753688034,3.54753837098225,5.23915516784271,7.52861733186538
59495,4.46607604374857,3.06184702869713,3.69526868285721,5.38307017147237,7.73951716329246
59860,4.68172301860493,3.23240291127073,3.90698558495735,5.60297034657206,7.89250897618265
60225,4.47216546043327,3.07860088124759,3.72715698408634,5.37170777474848,7.62417504776717
60590,4.48285153677249,3.08184178881027,3.72775336049011,5.36877844999871,7.6196142300749
60955,4.31725147878455,2.95800451362373,3.58033928328603,5.2476585087519,7.49766273123927
61320,4.46554430849763,3.04522401102253,3.69233551950194,5.40231203617937,7.74333336955743
61685,4.6216126133241,3.16680460748508,3.84549691411575,5.53813436479972,7.89659684863232
