"year","median","q05","q25","q75","q95"
1917,4.42312188550431,3.04171018777324,3.6782774823355,5.31269627302495,7.47730504457795
1918,4.37417185554925,2.99624116578486,3.63233476162676,5.2770610512223,7.48034565388661
1919,4.32580892671652,2.95286499269224,3.58099023975579,5.2331890192162,7.46395458707078
1920,4.56627135142555,3.12766873913448,3.79293500751129,5.45931599424326,7.71560928114799
1921,4.44231507770386,3.03548604999795,3.69560106660702,5.3374286995962,7.58247415856848
1922,4.59696594113583,3.18592989211736,3.84777105215624,5.48214031107909,7.71226619989004
1923,4.65011545370056,3.22372959144235,3.90195454595525,5.52362960048083,7.66665519742319
1924,4.56451934291912,3.15965017201729,3.83038682713985,5.41709250736248,7.53511543355911
1925,4.36448375197992,3.00955627585417,3.6487693410177,5.23626081038812,7.33742148493934
1926,4.43683542002866,3.05454850226152,3.68716735041562,5.31026419662298,7.4510276385368
1927,4.32676960943808,2.95759636605153,3.58336577228585,5.23316602094146,7.40268974375394
1928,4.477396924131,3.06215982613717,3.7157174508604,5.36226046414926,7.5987213723152
1929,4.47830483525412,3.06943198786585,3.72995602248795,5.35929891588372,7.57795211052973
1930,4.45461628981742,3.05823667298472,3.71536005394769,5.31961271624233,7.506690523594
1931,4.50088225730608,3.09500569546965,3.75168578552237,5.36383243438015,7.52040741463375
1932,4.59234242663397,3.17981117410032,3.84763331301481,5.46102284399315,7.60474938895377
1933,4.5656926428479,3.16327830739028,3.83435509923325,5.41158107726016,7.50017636185645
1934,4.48175953794898,3.09773417284985,3.75044690780428,5.34024106726142,7.40922344628555
1935,4.50201988660882,3.10702357042199,3.75322756991935,5.36921688022466,7.457672810169
1936,4.45292818829022,3.07111386240696,3.71900743557739,5.32579130931523,7.44999815753567
1937,4.42006877305048,3.03893502333327,3.66989174191231,5.30157933631932,7.45026164817986
1938,4.37109980880149,2.99407431879713,3.63170991245568,5.2547563353209,7.46851579504356
1939,4.32132725198456,2.95068612129813,3.57691903721433,5.21737944246611,7.43220971492385
1940,4.56553509055831,3.12431797039552,3.7882705477457,5.43964291662179,7.67799473745301
1941,4.43763229473627,3.03238136216097,3.69103652097027,5.31828573604885,7.51813768805023
1942,4.58987858623907,3.17959389626946,3.84367890515255,5.46768436323364,7.64453441515405
1943,4.64318482861627,3.21966534591162,3.90115546629361,5.5135722868207,7.66539314847025
1944,4.5595080731891,3.15872301001838,3.8259902807479,5.40379278580164,7.48917979526916
1945,4.36296606695967,3.00701760250841,3.64412879686305,5.22440099661455,7.2878929508532
1946,4.42914548061139,3.04942683546633,3.68417858286787,5.29410097371598,7.44055788462079
1947,4.32283481705215,2.95326341949098,3.57798329264041,5.21748228073204,7.38804696210094
1948,4.46664572108882,3.05771500364036,3.71129841866258,5.34711510486514,7.52997455992108
1949,4.46719743600381,3.06791540309779,3.72484334971904,5.34756494176782,7.50937028379129
1950,4.44525910798957,3.05276638729428,3.71086686429294,5.29867671548559,7.45970304092749
1951,4.49306855757494,3.09264622955654,3.75090078843723,5.3570751422921,7.51277112256454
1952,4.58801035296766,3.1789507895939,3.84436779485646,5.44722403386813,7.59423136552573
1953,4.55800751829878,3.16033240572478,3.82904524954591,5.40343637460274,7.4947564436154
1954,4.48044475185012,3.09686618853722,3.7487396824437,5.32757263386887,7.37627850264528
1955,4.49390500922978,3.10409178863303,3.75254041187663,5.35925655754956,7.45185332027307
1956,4.44639739547263,3.06501259282479,3.71799870823635,5.32264484941029,7.43803555820242
1957,4.41203918362719,3.03507310832916,3.66876657273761,5.29246854155326,7.43143623696945
1958,4.36969164039653,2.99036677068855,3.63027476029725,5.24885620636843,7.3925886664604
1959,4.31683745659141,2.94866048986773,3.57785704391924,5.20841854747867,7.35235865602525
1960,4.55002003797618,3.12136242351181,3.78369904636926,5.43044802394112,7.61578564066728
1961,4.43310046750438,3.02738100979033,3.69043652826106,5.31660739719115,7.45146413718092
1962,4.5887480563045,3.17552478898269,3.83962024701458,5.45331385914994,7.614363868015
1963,4.64040943047339,3.21676426050244,3.89867336875967,5.49879888921886,7.64420234598974
1964,4.55645893098242,3.15662359252467,3.82394877059159,5.40222630146763,7.48388623893882
1965,4.36162382724774,3.00459470817082,3.63861839253235,5.21938282790855,7.27866746298392
1966,4.4239136953813,3.04369621560538,3.68466935766027,5.29307928936354,7.41018905403747
1967,4.31872893098386,2.94958917877896,3.5772898452331,5.21326297848106,7.34794181884341
1968,4.45997607272934,3.05679867744752,3.71073439801037,5.34416685315652,7.53724472301278
1969,4.45814245567652,3.06525346954584,3.72307475756295,5.34081437901974,7.50184212358971
1970,4.43796896255533,3.05207000099165,3.70628801220644,5.29669674363359,7.42849903987808
1971,4.48728290900773,3.08994298669418,3.74655392162839,5.35352370942977,7.45831993545638
1972,4.582049726399,3.17685615435325,3.83673921515666,5.4343920577325,7.59217920017614
1973,4.55427139350184,3.16005210774579,3.82347015321228,5.39614132165104,7.49073347408907
1974,4.47657155740751,3.09372223241723,3.74546568456565,5.32289267231553,7.36487111220095
1975,4.48827836913739,3.10145046395968,3.75028455242424,5.34738133519765,7.44243538000707
1976,4.44411420506219,3.06181179540187,3.7158814022565,5.31522602851701,7.4169287168824
1977,4.40742845624745,3.03004259006496,3.66656441821359,5.28326374354933,7.40542407750165
1978,4.36328945989847,2.98820093597969,3.62768940150355,5.24007357140565,7.41937589120547
1979,4.31443727271333,2.94817634407533,3.57440064495984,5.20305919073662,7.4051690916349
1980,4.54389008967832,3.11858558422196,3.78043997142648,5.41715008204991,7.72635006273998
1981,4.42844693809792,3.02383884613032,3.68392773079642,5.31001436851036,7.52988484950644
1982,4.40582014807605,3.01398618914264,3.65254609018208,5.28455333517537,7.47548783533816
1983,4.48680366747283,3.06851630926956,3.72945437328611,5.37984436241273,7.62881113414879
1984,4.57140705280524,3.14200816929022,3.81251149728423,5.45028544934316,7.71945370485482
1985,4.43364869237692,3.0300468614969,3.68847449761718,5.30692222752885,7.48073409426001
1986,4.47724101627694,3.07283134626266,3.72340945801221,5.34862832493907,7.56989367803695
1987,4.36190487850764,2.97122648694444,3.61328304997663,5.25672047472022,7.51033671806154
1988,4.38318207801031,2.98975096467837,3.63777015077418,5.26025733056835,7.5893922838317
1989,4.47028542035871,3.05574291849813,3.71494766878039,5.34773820833983,7.67290135684883
1990,4.65974297285378,3.21445227584881,3.89059121974513,5.53952651689844,7.81951769366874
1991,4.4785839253246,3.07712299525085,3.74796714087868,5.34309967252005,7.50375878481029
1992,4.46973086484331,3.07776173028182,3.72945936229228,5.32272927680263,7.48003765229296
1993,4.58784288371742,3.17772243331552,3.83875937014601,5.42972219205506,7.5949135236579
1994,4.69361989264224,3.28037683275841,3.94685320198501,5.5297208205204,7.63447171003326
1995,4.60382253728452,3.19468023508382,3.86677647779888,5.43525534889937,7.45421713577808
1996,4.53571637585727,3.14804511030898,3.8093367129296,5.36735108276778,7.38095560540617
1997,4.58040567441199,3.19696944509597,3.85406895720086,5.42845824845901,7.46115581531204
1998,4.55313860953734,3.18182074007067,3.83738517386215,5.39229541153953,7.40303121564169
1999,4.58917355883933,3.21973974454688,3.8700104056721,5.43027781971983,7.44182243136257
2000,4.47739610800513,3.11834388130889,3.75706711926557,5.32978099723594,7.33922690239942
2001,4.30532312197402,2.9961097334552,3.59419007785147,5.20398699580067,7.26908925074654
2002,4.46238138635185,3.08410004440831,3.71665299333329,5.36235996726664,7.61162294686445
2003,4.25740348585027,2.91577309745416,3.52665730137244,5.17338813484442,7.4445879331588
2004,4.41822711678681,3.03830832295939,3.67357432893223,5.31231184450421,7.685180436847
2005,4.65133744162085,3.21695070411082,3.88468942108009,5.52946840134191,7.84471272703934
2006,4.43672705922789,3.06268618376619,3.70911657474586,5.30507895778116,7.50703398837098
2007,4.44851663692759,3.07093332192915,3.70266042206293,5.31080597839637,7.52342727503909
2008,4.29199521564316,2.93874701926508,3.55582116434012,5.19937616816393,7.4057294189165
2009,4.42772155977805,3.03273241547919,3.67228672938418,5.33141509314949,7.68731073906338
2010,4.58396880033443,3.14811225291099,3.81423004095894,5.47537212522216,7.84488285840897
