"Year","Species","min_yield_t","median_yield_t","max_yield_t","q05_yield_t","q95_yield_t","ObsYield_t"
1892,"toothfishes",0,0,0,0,0,NA
1893,"antarctic krill",0,0,0,0,0,NA
1893,"baleen whales",0,0,0,0,0,NA
1893,"bathypelagic fishes",0,0,0,0,0,NA
1893,"minke whales",0,0,0,0,0,NA
1893,"orca",0,0,0,0,0,NA
1893,"shelf and coastal fishes",0,0,0,0,0,NA
1893,"sperm whales",0,0,0,0,0,NA
1893,"squids",0,0,0,0,0,NA
1893,"toothfishes",0,0,0,0,0,NA
1894,"antarctic krill",0,0,0,0,0,NA
1894,"baleen whales",0,0,0,0,0,NA
1894,"bathypelagic fishes",0,0,0,0,0,NA
1894,"minke whales",0,0,0,0,0,NA
1894,"orca",0,0,0,0,0,NA
1894,"shelf and coastal fishes",0,0,0,0,0,NA
1894,"sperm whales",0,0,0,0,0,NA
1894,"squids",0,0,0,0,0,NA
1894,"toothfishes",0,0,0,0,0,NA
1895,"antarctic krill",0,0,0,0,0,NA
1895,"baleen whales",0,0,0,0,0,NA
1895,"bathypelagic fishes",0,0,0,0,0,NA
1895,"minke whales",0,0,0,0,0,NA
1895,"orca",0,0,0,0,0,NA
1895,"shelf and coastal fishes",0,0,0,0,0,NA
1895,"sperm whales",0,0,0,0,0,NA
1895,"squids",0,0,0,0,0,NA
1895,"toothfishes",0,0,0,0,0,NA
1896,"antarctic krill",0,0,0,0,0,NA
1896,"baleen whales",0,0,0,0,0,NA
1896,"bathypelagic fishes",0,0,0,0,0,NA
1896,"minke whales",0,0,0,0,0,NA
1896,"orca",0,0,0,0,0,NA
1896,"shelf and coastal fishes",0,0,0,0,0,NA
1896,"sperm whales",0,0,0,0,0,NA
1896,"squids",0,0,0,0,0,NA
1896,"toothfishes",0,0,0,0,0,NA
1897,"antarctic krill",0,0,0,0,0,NA
1897,"baleen whales",0,0,0,0,0,NA
1897,"bathypelagic fishes",0,0,0,0,0,NA
1897,"minke whales",0,0,0,0,0,NA
1897,"orca",0,0,0,0,0,NA
1897,"shelf and coastal fishes",0,0,0,0,0,NA
1897,"sperm whales",0,0,0,0,0,NA
1897,"squids",0,0,0,0,0,NA
1897,"toothfishes",0,0,0,0,0,NA
1898,"antarctic krill",0,0,0,0,0,NA
1898,"baleen whales",0,0,0,0,0,NA
1898,"bathypelagic fishes",0,0,0,0,0,NA
1898,"minke whales",0,0,0,0,0,NA
1898,"orca",0,0,0,0,0,NA
1898,"shelf and coastal fishes",0,0,0,0,0,NA
1898,"sperm whales",0,0,0,0,0,NA
1898,"squids",0,0,0,0,0,NA
1898,"toothfishes",0,0,0,0,0,NA
1899,"antarctic krill",0,0,0,0,0,NA
1899,"baleen whales",0,0,0,0,0,NA
1899,"bathypelagic fishes",0,0,0,0,0,NA
1899,"minke whales",0,0,0,0,0,NA
1899,"orca",0,0,0,0,0,NA
1899,"shelf and coastal fishes",0,0,0,0,0,NA
1899,"sperm whales",0,0,0,0,0,NA
1899,"squids",0,0,0,0,0,NA
1899,"toothfishes",0,0,0,0,0,NA
1900,"antarctic krill",0,0,0,0,0,NA
1900,"baleen whales",0,0,0,0,0,NA
1900,"bathypelagic fishes",0,0,0,0,0,NA
1900,"minke whales",0,0,0,0,0,NA
1900,"orca",0,0,0,0,0,NA
1900,"shelf and coastal fishes",0,0,0,0,0,NA
1900,"sperm whales",0,0,0,0,0,NA
1900,"squids",0,0,0,0,0,NA
1900,"toothfishes",0,0,0,0,0,NA
1901,"antarctic krill",0,0,0,0,0,NA
1901,"baleen whales",0,0,0,0,0,NA
1901,"bathypelagic fishes",0,0,0,0,0,NA
1901,"minke whales",0,0,0,0,0,NA
1901,"orca",0,0,0,0,0,NA
1901,"shelf and coastal fishes",0,0,0,0,0,NA
1901,"sperm whales",0,0,0,0,0,NA
1901,"squids",0,0,0,0,0,NA
1901,"toothfishes",0,0,0,0,0,NA
1902,"antarctic krill",0,0,0,0,0,NA
1902,"baleen whales",0,0,0,0,0,NA
1902,"bathypelagic fishes",0,0,0,0,0,NA
1902,"minke whales",0,0,0,0,0,NA
1902,"orca",0,0,0,0,0,NA
1902,"shelf and coastal fishes",0,0,0,0,0,NA
1902,"sperm whales",0,0,0,0,0,NA
1902,"squids",0,0,0,0,0,NA
1902,"toothfishes",0,0,0,0,0,NA
1903,"antarctic krill",0,0,0,0,0,NA
1903,"baleen whales",0,0,0,0,0,NA
1903,"bathypelagic fishes",0,0,0,0,0,NA
1903,"minke whales",0,0,0,0,0,NA
1903,"orca",0,0,0,0,0,NA
1903,"shelf and coastal fishes",0,0,0,0,0,NA
1903,"sperm whales",0,0,0,0,0,NA
1903,"squids",0,0,0,0,0,NA
1903,"toothfishes",0,0,0,0,0,NA
1904,"antarctic krill",0,0,0,0,0,NA
1904,"baleen whales",0,0,0,0,0,NA
1904,"bathypelagic fishes",0,0,0,0,0,NA
1904,"minke whales",0,0,0,0,0,NA
1904,"orca",0,0,0,0,0,NA
1904,"shelf and coastal fishes",0,0,0,0,0,NA
1904,"sperm whales",0,0,0,0,0,NA
1904,"squids",0,0,0,0,0,NA
1904,"toothfishes",0,0,0,0,0,NA
1905,"antarctic krill",0,0,0,0,0,NA
1905,"baleen whales",0,0,0,0,0,NA
1905,"bathypelagic fishes",0,0,0,0,0,NA
1905,"minke whales",0,0,0,0,0,NA
1905,"orca",0,0,0,0,0,NA
1905,"shelf and coastal fishes",0,0,0,0,0,NA
1905,"sperm whales",0,0,0,0,0,NA
1905,"squids",0,0,0,0,0,NA
1905,"toothfishes",0,0,0,0,0,NA
1906,"antarctic krill",0,0,0,0,0,NA
1906,"baleen whales",0,0,0,0,0,NA
1906,"bathypelagic fishes",0,0,0,0,0,NA
1906,"minke whales",0,0,0,0,0,NA
1906,"orca",0,0,0,0,0,NA
