"sim_id","species","gamma","catchability","abundance_scaling"
11,"toothfishes",2.55745375348198e-10,0.000851567824674937,0.5
11,"leopard seals",2.05428267236102e-10,0,1.09853425912628
11,"medium divers",3.62747416230744e-09,0,22.713402298579
11,"large divers",6.3798214799565e-11,0,0.5
11,"minke whales",5.4595654501122e-10,0.212438239627399,48.0127718885401
11,"orca",3.34791440779851e-09,0.365447204377928,0.5
11,"sperm whales",1.09131047338419e-10,0.05278244452896,10.7981973932494
11,"baleen whales",1.50731842507085e-07,0.361706148613142,0.5
12,"mesozooplankton",8.20821595078849e-13,0,0.958688080366956
12,"other krill",1.03056749628583e-12,0,0.5
12,"other macrozooplankton",2.0822234081293e-11,0,0.5
12,"antarctic krill",9.17528032667918e-12,0.822322374375873,0.5
12,"salps",8.27740126880325e-12,0,0.5
12,"mesopelagic fishes",1.18879523243933e-11,0,0.5
12,"bathypelagic fishes",2.42432298158337e-11,0.00151267478434309,5.56623533867602
12,"shelf and coastal fishes",2.33912150739e-10,5.17960052310949e-05,17.4064745977036
12,"flying birds",1.53868636084024e-09,0,0.5
12,"small divers",6.00375305164759e-11,0,0.5
12,"squids",4.79241504767898e-10,6.59001157738978e-06,197.350125398276
12,"toothfishes",8.33607185507934e-11,0.00109421607399807,0.5
12,"leopard seals",1.19896853119071e-09,0,0.5
12,"medium divers",4.00620711680611e-10,0,0.5
12,"large divers",2.96142097834089e-10,0,0.5
12,"minke whales",3.70000855729551e-09,1,373.6111350649
12,"orca",3.34791440779851e-09,0.0403221143293151,0.5
12,"sperm whales",1.89104119856461e-10,0.373220364766819,116.306308937813
12,"baleen whales",4.73935771418657e-09,0.0168357123173606,1.01898321786477
13,"mesozooplankton",1.55165639421809e-11,0,0.5
13,"other krill",3.13344958811e-12,0,0.5
13,"other macrozooplankton",1.12625504113832e-12,0,27.9037313677053
13,"antarctic krill",4.45578773610709e-12,0.0305000306574313,6.91734194704599
13,"salps",1.55063433128619e-11,0,0.5
13,"mesopelagic fishes",7.2231215040042e-12,0,7114.62745963402
13,"bathypelagic fishes",7.83809447750993e-12,0.000633698151444189,1670.20288049911
13,"shelf and coastal fishes",2.40796891334738e-10,1.72539657121496e-05,46.1169739764172
13,"flying birds",1.34589480314582e-08,0,4.31072249239311
13,"small divers",6.66290980333534e-12,0,71.0665450074194
13,"squids",1.29846005143197e-09,0.000199339732838936,0.5
13,"toothfishes",9.73124022601315e-11,0.000605510886935687,0.5
13,"leopard seals",1.34310954884276e-10,0,0.5
13,"medium divers",3.9450425250517e-09,0,0.5
13,"large divers",9.1828773931846e-11,0,167.728236140468
13,"minke whales",6.82445681264025e-08,0.7688769432202,0.5
13,"orca",3.22898851597366e-08,0.138230345043952,0.5
13,"sperm whales",1.09131047338419e-10,0.285505453098355,0.5
13,"baleen whales",3.34011674056309e-09,0.0156509059361618,0.5
14,"mesozooplankton",4.96367733251556e-13,0,0.5
14,"other krill",1.80836865814466e-12,0,0.5
14,"other macrozooplankton",3.60311934603528e-12,0,0.5
14,"antarctic krill",2.20078408009999e-12,0.168078062666012,0.5
14,"salps",7.32918782922745e-12,0,3030.67765943454
14,"mesopelagic fishes",4.55968496990149e-10,0,1.60491462302249
14,"bathypelagic fishes",7.67549989317749e-12,0.00074246004528991,500.976425398808
14,"shelf and coastal fishes",2.04492835494462e-10,8.67006469993879e-06,0.5
14,"flying birds",3.45313274214385e-10,0,56.5063439774016
14,"small divers",6.66290980333534e-12,0,23.9816459838006
14,"squids",4.15034493184643e-10,2.45571800751235e-05,0.563023582897171
14,"toothfishes",8.33607185507934e-11,0.000826543455698933,0.5
14,"leopard seals",9.93317129185953e-10,0,4.32175008384458
14,"medium divers",3.02726622106308e-10,0,7.02735696206662
14,"large divers",6.3798214799565e-11,0,7.64575408189151
14,"minke whales",5.4595654501122e-10,0.140767651370491,4.89962358273133
14,"orca",3.34791440779851e-09,0.251511588476018,4.30884079909716
14,"sperm whales",3.51178114962213e-10,0.298852826711597,0.5
14,"baleen whales",1.56301162692536e-07,0.0504015719896761,0.667861062818984
15,"mesozooplankton",4.96367733251556e-13,0,0.5
15,"other krill",1.03056749628583e-12,0,0.5
15,"other macrozooplankton",2.15159234647874e-12,0,0.5
15,"antarctic krill",1.95543559590741e-12,0.267161803631274,3.09033272465005
15,"salps",7.32918782922745e-12,0,1.08657548300468
15,"mesopelagic fishes",2.62514204519757e-11,0,0.5
