"Year","Species","min_biomass_t","median_biomass_t","max_biomass_t","q05_biomass_t","q95_biomass_t","ObsBiomass_t"
1885,"minke whales",2086.42228097142,26877.607009933,204881756.410337,7282.1825712682,20730052.3305164,20640.77
1885,"orca",4619.6631984892,8952.23152643938,319722.168538962,6916.05276641628,18972.3267753836,8846.046
1885,"other krill",218956.056501766,10778686.5000839,121566298.670094,1493654.23937344,73434249.5156453,2801248
1885,"other macrozooplankton",1523208.24576634,17935206.8125648,37171174.4197697,7841109.10293813,26936174.5983429,14743410
1885,"salps",110319.001385219,1071205.73494969,2912029.1951803,423382.145861088,2079957.72852518,961270.3
1885,"shelf and coastal fishes",1253138.60238441,4875369.11170443,7574667.96174875,2589088.72026692,6266427.80322954,4027900
1885,"small divers",11066.2219127172,37842.0037583364,48185.9078671138,22186.8633331931,42759.2226119555,23589.46
1885,"sperm whales",10912.8542561213,24497.011448668,13625205.6156967,14618.8672717014,2728408.84786375,16217.75
1885,"squids",40917.4252188723,140907.26234371,431395.521435679,90179.7155053965,299578.52201352,221151.2
1885,"toothfishes",2284.34926694603,1026274.97098764,2770067.54028151,154742.194468998,1830003.56756284,1105756
1886,"antarctic krill",166035.435846464,13209921.7198632,57540698.3771459,1801791.20986842,36054579.7579725,5897364
1886,"baleen whales",108291.412296896,869300.307534246,110469565.401206,177374.725147873,18855401.5909479,187241.3
1886,"bathypelagic fishes",332106.573124306,2427995.10351777,7731324.24241295,1007515.37354966,4549495.17311313,1769209
1886,"flying birds",3957.05637631288,6022.83232932754,6612.37088944544,5436.2421828759,6298.54048862767,4423.023
1886,"large divers",2263.06624477896,18597.2236644914,3518382.8677184,5741.61097388536,267650.092661717,16217.75
1886,"leopard seals",542.437157989288,3303.40530054764,33462.8862930256,1906.71337938455,4657.23480101747,2948.682
1886,"medium divers",64588.791565125,416706.499940637,1629946.94928455,157280.142726967,852969.046671187,390700.4
1886,"mesopelagic fishes",23047.2025702884,1805590.67206577,4707719.79086869,522795.830823068,3623975.03287967,1769209
1886,"mesozooplankton",4612279.07565803,17126962.9899525,28939253.9607114,8727724.92971773,24760433.9852438,12974200
1886,"minke whales",2089.25498953653,26875.7085712065,204202840.274307,7297.83891689839,20658129.7213498,20640.77
1886,"orca",4628.95614114357,8952.84842015927,318875.972913507,6920.32164590956,18945.194896485,8846.046
1886,"other krill",202171.701273287,11166659.7109555,123880161.231966,1487614.79047107,76293911.0770726,2801248
1886,"other macrozooplankton",1489221.0877537,18331829.2712787,37874666.0965523,7603479.40869147,28003124.1102186,14743410
