"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsYield_t"
1855,"small divers",2111,0,0,0,0,0,0,0,NA
1855,"squids",2111,0,0,0,0,0,0,0,NA
1855,"toothfishes",2111,0,0,0,0,0,0,0,NA
1855,"leopard seals",2111,0,0,0,0,0,0,0,NA
1855,"medium divers",2111,0,0,0,0,0,0,0,NA
1855,"large divers",2111,0,0,0,0,0,0,0,NA
1855,"minke whales",2111,0,0,0,0,0,0,0,NA
1855,"orca",2111,0,0,0,0,0,0,0,NA
1855,"sperm whales",2111,0,0,0,0,0,0,0,NA
1855,"baleen whales",2111,0,0,0,0,0,0,0,NA
1856,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1856,"other krill",2111,0,0,0,0,0,0,0,NA
1856,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1856,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1856,"salps",2111,0,0,0,0,0,0,0,NA
1856,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1856,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1856,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1856,"flying birds",2111,0,0,0,0,0,0,0,NA
1856,"small divers",2111,0,0,0,0,0,0,0,NA
1856,"squids",2111,0,0,0,0,0,0,0,NA
1856,"toothfishes",2111,0,0,0,0,0,0,0,NA
1856,"leopard seals",2111,0,0,0,0,0,0,0,NA
1856,"medium divers",2111,0,0,0,0,0,0,0,NA
1856,"large divers",2111,0,0,0,0,0,0,0,NA
1856,"minke whales",2111,0,0,0,0,0,0,0,NA
1856,"orca",2111,0,0,0,0,0,0,0,NA
1856,"sperm whales",2111,0,0,0,0,0,0,0,NA
1856,"baleen whales",2111,0,0,0,0,0,0,0,NA
1857,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1857,"other krill",2111,0,0,0,0,0,0,0,NA
1857,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1857,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1857,"salps",2111,0,0,0,0,0,0,0,NA
1857,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1857,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1857,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1857,"flying birds",2111,0,0,0,0,0,0,0,NA
1857,"small divers",2111,0,0,0,0,0,0,0,NA
1857,"squids",2111,0,0,0,0,0,0,0,NA
1857,"toothfishes",2111,0,0,0,0,0,0,0,NA
1857,"leopard seals",2111,0,0,0,0,0,0,0,NA
1857,"medium divers",2111,0,0,0,0,0,0,0,NA
1857,"large divers",2111,0,0,0,0,0,0,0,NA
1857,"minke whales",2111,0,0,0,0,0,0,0,NA
