"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsBiomass_t"
1870,"salps",2111,105472.854980854,415259.395934655,832699.125701761,1077755.04661682,1553475.16068398,2077991.60505437,2893530.30896751,NA
1870,"mesopelagic fishes",2111,27312.6558685351,526074.476597755,1266188.62841435,1785108.30100332,2618464.83264534,3584902.76851842,4688611.38661789,NA
1870,"bathypelagic fishes",2111,323046.62218571,988788.146597462,1656135.89019879,2375763.37084715,3272005.98489972,4497118.29234968,7679027.37322818,NA
1870,"shelf and coastal fishes",2111,1208466.11464792,2528188.06372983,4186055.97600158,4865501.72517197,5541845.66057196,6268703.50134462,7574357.24584457,NA
1870,"flying birds",2111,3962.89241093391,5456.45793608195,5952.17184429995,6027.02072165903,6125.1111121113,6313.05974657881,6622.92621460435,NA
1870,"small divers",2111,11141.3780262143,22278.6723639971,35362.1646108499,37995.2180471239,40300.4433061406,42902.0370684836,48329.2083503136,NA
1870,"squids",2111,38031.8443447497,88055.327178407,120426.573443685,140335.96208557,167088.397241532,298651.621508983,430930.278451465,NA
1870,"toothfishes",2111,2356.76115925898,145358.978637403,618827.591768539,1015257.5561856,1358287.9106604,1832761.54016023,2768465.79471289,NA
1870,"leopard seals",2111,475.816050543364,1836.37625762215,2592.13796263215,3284.92072937318,3775.52772133268,4649.35251411413,38401.4531042752,NA
1870,"medium divers",2111,60853.8701573994,154532.289787253,277150.457978648,417327.024887113,656506.462113994,873521.166227596,1729839.39710657,NA
1870,"large divers",2111,2112.52604326015,5622.48586064809,11079.5501944714,18727.6838414854,43432.1583826002,293113.692912639,3838469.3190781,NA
1870,"minke whales",2111,2054.49398702475,6943.21953804267,13580.997982318,27117.0395095114,90092.8453333051,21837908.269472,215339165.626548,NA
1870,"orca",2111,4477.81568523193,6849.72900051035,8340.38937183752,8947.71173747717,10189.4453022893,19390.667409277,332696.619463595,NA
1870,"sperm whales",2111,10792.4839517356,14542.5774042013,20499.236778443,24696.3213799914,112456.676986597,2802972.42830908,13999425.338918,NA
1870,"baleen whales",2111,107046.799251672,176919.518534961,878249.698370773,882950.451128702,3335556.68429491,19241457.2031034,112750988.693935,NA
1871,"mesozooplankton",2111,5080031.37048103,9115110.02443654,13023399.0868845,17492650.8992587,20637957.1322963,24851504.6576504,29064872.0730185,NA
1871,"other krill",2111,201191.269818401,1482079.25127775,5306746.56504422,11516044.0456364,30587335.0882695,75915243.1381947,124115980.002669,NA
1871,"other macrozooplankton",2111,1464626.25790603,7935773.75821646,15199426.3941966,18897113.6648706,22924661.876556,28576294.8249639,38266329.8139229,NA
1871,"antarctic krill",2111,149962.943039102,1776173.93783768,7263081.38986645,13270395.8878048,24303454.4436294,36315539.4839054,57532474.5619057,NA
1871,"salps",2111,106477.287169204,418852.636694128,837223.704956706,1080439.77337868,1555596.72065818,2078735.04252834,2892830.51257298,NA
1871,"mesopelagic fishes",2111,27300.6137986158,530380.751322522,1273966.82694412,1791427.8507936,2622012.24104766,3586808.49911535,4692418.43076818,NA
1871,"bathypelagic fishes",2111,326555.173463128,995135.258216042,1661980.99250062,2382698.3490398,3271329.11468654,4498152.22942119,7675033.47313967,NA
1871,"shelf and coastal fishes",2111,1212626.54912032,2534981.94444837,4186583.76758013,4869728.45092555,5541349.55561911,6269921.90208294,7573124.29380561,NA
1871,"flying birds",2111,3962.71736795528,5457.67008852117,5951.96548060713,6026.97721109742,6124.8548751661,6312.41391502401,6622.27871844503,NA
1871,"small divers",2111,11159.504683452,22312.9943149391,35404.225014627,38006.3550146927,40296.1691508932,42895.1877308944,48320.0271292743,NA
1871,"squids",2111,37798.8655965154,87953.1849527334,120475.632328145,140359.103783975,166971.435074179,298604.539802308,430626.297988879,NA
1871,"toothfishes",2111,2362.97710372963,145789.590725595,620340.556866748,1015528.93213701,1358251.86921901,1832592.14021728,2768666.80075714,NA
1871,"leopard seals",2111,478.967933954155,1841.43164542669,2592.24104291645,3284.38472787957,3776.39460874537,4650.38146894536,38069.2205550842,NA
1871,"medium divers",2111,61044.4939895604,154747.277095563,277044.197401974,417250.889151004,655836.875977832,873164.671117274,1723357.50571104,NA
1871,"large divers",2111,2119.96714773834,5625.52699802327,11075.8620295601,18724.0557530968,43369.6142940499,291719.223839956,3817739.57638074,NA
1871,"minke whales",2111,2051.2099115205,6958.01854938085,13568.2895214785,27104.3804446146,89682.3766215782,21762334.2081255,214625795.542776,NA
1871,"orca",2111,4487.64778323707,6855.51929366938,8342.75196103013,8948.51624281344,10186.7695987133,19362.8405297743,331815.110574744,NA
1871,"sperm whales",2111,10800.5294369225,14548.0065348577,20494.5800364633,24682.9908195338,112284.917981993,2797939.1147205,13974160.6282824,NA
1871,"baleen whales",2111,107131.295204006,176954.372370662,877377.922825051,882088.992537797,3331553.50643232,19217093.1985721,112607033.908879,NA
1872,"mesozooplankton",2111,6156729.898772,9917519.36500195,13645472.1249474,18012919.5225793,21071312.1932665,25303134.8155398,29586506.5836713,NA
1872,"other krill",2111,222348.642231328,1585030.12104174,5575098.10037246,11823555.2898292,30872163.3799598,75662713.7844075,123345577.629025,NA
1872,"other macrozooplankton",2111,1542962.92204922,8246660.66675425,15826869.8775051,19660932.5039173,23801657.9141009,29431296.8777381,39124598.750255,NA
1872,"antarctic krill",2111,157543.194169498,1819060.51430419,7429095.63330654,13484033.7262046,24389426.3354702,36421192.4776426,57491808.8870296,NA
1872,"salps",2111,109284.735461597,427258.923001432,849941.06939006,1089192.76569258,1568475.9894025,2086859.00069819,2895420.63941811,NA
1872,"mesopelagic fishes",2111,27791.0290249107,538068.059419445,1287919.52097483,1806546.30542581,2634723.7595483,3597781.29332631,4694979.57374737,NA
1872,"bathypelagic fishes",2111,332825.843334351,1006408.25918476,1674802.47370689,2396020.04284183,3278394.94809291,4503480.96362306,7674729.48256085,NA
1872,"shelf and coastal fishes",2111,1219131.23966803,2547466.97241322,4188462.28350859,4872572.89924761,5541251.97358422,6271792.44329259,7572343.47652684,NA
1872,"flying birds",2111,3962.93490473813,5459.74117299651,5953.06506340578,6027.07191842822,6124.69192048221,6312.09958801335,6621.71230923684,NA
1872,"small divers",2111,11185.2694855196,22354.7551796583,35440.349231191,38015.6639686749,40294.6420044356,42890.6398336039,48311.8857024396,NA
1872,"squids",2111,37721.2874418098,88127.4630792929,120541.671079302,140483.851968033,166873.472989107,298669.170315328,430363.057249459,NA
1872,"toothfishes",2111,2371.89252692391,145863.043209279,620721.47483004,1015945.37979523,1358192.44573983,1832477.95943731,2768826.37308811,NA
1872,"leopard seals",2111,482.202299088723,1845.59686285234,2590.35842356771,3284.09249590948,3776.38485183551,4651.15389242704,37740.409438598,NA
1872,"medium divers",2111,61236.535108681,154955.727883153,277093.052411898,417171.756856332,655165.392535468,872811.479456045,1716908.11534797,NA
1872,"large divers",2111,2127.44086333439,5630.29891666488,11076.5174029803,18720.3307725868,43355.9873191341,290331.48598389,3797108.46660185,NA
1872,"minke whales",2111,2047.89724913248,6973.42287973308,13550.7127179101,27049.4331597134,89228.6685381527,21687009.4274217,213914777.686826,NA
1872,"orca",2111,4497.61051395908,6861.43088517386,8345.19826835597,8949.38553732255,10184.2068553746,19335.1769243512,330936.009749549,NA
1872,"sperm whales",2111,10808.5640092656,14553.450154292,20489.8648674041,24669.7236428447,112113.468110652,2792915.01176447,13948941.6170867,NA
1872,"baleen whales",2111,107216.505523734,176989.715433009,876507.255463941,881228.645184967,3327555.48175076,19192760.4248101,112463264.264352,NA
1873,"mesozooplankton",2111,5941923.20921315,9483254.64793726,13356176.4177803,17743040.8065754,20709789.8623321,24770035.5076599,28980862.2484774,NA
